"","workerid","rt","subjectGender","speakerGender","content","verb","contentNr","trigger_class","response","slide_number_in_experiment","age","language","american","gender","comments","Answer.time_in_minutes"
"34",1,6801,"M","F","Zoe calculated the tip","know","10","NonProj",0.72,7,40,"English",0,"Male","This is harder than I would have thought",2.61615
"35",1,4246,NA,"F","Sebastian lives in the USA and has never been to the USA","control_bad","control_bad4","control",0.96,8,40,"English",0,"Male","This is harder than I would have thought",2.61615
"36",1,2734,"M","F","Mary is pregnant","acknowledge","1","C",0.48,9,40,"English",0,"Male","This is harder than I would have thought",2.61615
"37",1,5103,NA,"M","Tara wants me to cook for her and I&quotecharm a terrific cook","control_good","control_good2","control",0.05,10,40,"English",0,"Male","This is harder than I would have thought",2.61615
"38",1,3315,NA,"F","Vanessa is really good at math, but I&quotecharm not","control_good","control_good4","control",0.24,11,40,"English",0,"Male","This is harder than I would have thought",2.61615
"39",1,2885,NA,"M","Madison laughed loudly and she didn&quotechart laugh","control_bad","control_bad3","control",0.92,12,40,"English",0,"Male","This is harder than I would have thought",2.61615
"40",1,3582,"F","F","Frank got a cat","confess","12","C",0.4,13,40,"English",0,"Male","This is harder than I would have thought",2.61615
"41",1,2841,"F","F","Tony had a drink last night","hear","15","C",0.25,14,40,"English",0,"Male","This is harder than I would have thought",2.61615
"42",1,5447,"F","M","Jackson ran 10 miles","inform_Sam","13","C",0.26,15,40,"English",0,"Male","This is harder than I would have thought",2.61615
"43",1,3224,"F","M","Jon walks to work","think","19","NonProj",0.37,16,40,"English",0,"Male","This is harder than I would have thought",2.61615
"44",1,2656,"F","M","Josh learned to ride a bike yesterday","confirm","16","C",0.36,17,40,"English",0,"Male","This is harder than I would have thought",2.61615
"45",1,4030,NA,"F","Dana has never smoked in her life and she stopped smoking recently","control_bad","control_bad1","control",0.84,18,40,"English",0,"Male","This is harder than I would have thought",2.61615
"46",1,3839,"F","F","Owen shoveled snow last winter","suggest","17","C",0.35,19,40,"English",0,"Male","This is harder than I would have thought",2.61615
"47",1,4592,"M","M","Mia drank 2 cocktails last night","prove","6","C",0.27,20,40,"English",0,"Male","This is harder than I would have thought",2.61615
"48",1,4187,"M","F","Grace visited her sister","establish","9","NonProj",0.4,21,40,"English",0,"Male","This is harder than I would have thought",2.61615
"49",1,5249,"M","F","Josie went on vacation to France","annoyed","2","NonProj",0.37,22,40,"English",0,"Male","This is harder than I would have thought",2.61615
"50",1,5270,"F","F","Charley speaks Spanish","discover","20","NonProj",0.67,23,40,"English",0,"Male","This is harder than I would have thought",2.61615
"51",1,3601,"M","M","Emma studied on Saturday morning","see","3","NonProj",0.47,24,40,"English",0,"Male","This is harder than I would have thought",2.61615
"52",1,5551,"F","M","Julian dances salsa","demonstrate","18","C",0.78,25,40,"English",0,"Male","This is harder than I would have thought",2.61615
"53",1,3072,"F","M","Jayden rented a car","admit","14","C",0.36,26,40,"English",0,"Male","This is harder than I would have thought",2.61615
"54",1,3391,"M","F","Emily bought a car yesterday","reveal","8","NonProj",0.33,27,40,"English",0,"Male","This is harder than I would have thought",2.61615
"55",1,3386,NA,"M","Hendrick&quotechars car is completely red and his car is not red","control_bad","control_bad2","control",0.97,28,40,"English",0,"Male","This is harder than I would have thought",2.61615
"56",1,4447,"M","F","Sophia got a tattoo","be_right_that","5","C",0.46,29,40,"English",0,"Male","This is harder than I would have thought",2.61615
"57",2,7485,"F","F","Jayden rented a car","see","14","NonProj",0.71,2,32,"English",0,"Male","2.50",2.78481666666667
"58",2,7118,"M","F","Emma studied on Saturday morning","annoyed","3","NonProj",0.45,3,32,"English",0,"Male","2.50",2.78481666666667
"59",2,3960,"M","F","Sophia got a tattoo","demonstrate","5","C",0.39,4,32,"English",0,"Male","2.50",2.78481666666667
"60",2,14103,"F","F","Josh learned to ride a bike yesterday","be_right_that","16","C",0.97,5,32,"English",0,"Male","2.50",2.78481666666667
"61",2,3273,"F","M","Danny ate the last cupcake","think","11","NonProj",0.42,6,32,"English",0,"Male","2.50",2.78481666666667
"62",2,3759,NA,"M","Sebastian lives in the USA and has never been to the USA","control_bad","control_bad4","control",1,7,32,"English",0,"Male","2.50",2.78481666666667
"63",2,4471,"M","F","Mia drank 2 cocktails last night","confess","6","C",0.52,8,32,"English",0,"Male","2.50",2.78481666666667
"64",2,6449,"M","F","Mary is pregnant","know","1","NonProj",0.88,9,32,"English",0,"Male","2.50",2.78481666666667
"65",2,6855,NA,"F","Frederick is both smarter and taller than I am","control_good","control_good3","control",0,10,32,"English",0,"Male","2.50",2.78481666666667
"66",2,2751,NA,"F","Vanessa is really good at math, but I&quotecharm not","control_good","control_good4","control",0.01,11,32,"English",0,"Male","2.50",2.78481666666667
"67",2,6080,"F","F","Frank got a cat","pretend","12","NonProj",0.73,12,32,"English",0,"Male","2.50",2.78481666666667
"68",2,3783,NA,"M","Tara wants me to cook for her and I&quotecharm a terrific cook","control_good","control_good2","control",0,13,32,"English",0,"Male","2.50",2.78481666666667
"69",2,3024,"F","M","Jon walks to work","establish","19","NonProj",0.52,14,32,"English",0,"Male","2.50",2.78481666666667
"70",2,5888,"M","M","Josie went on vacation to France","suggest","2","C",0.22,15,32,"English",0,"Male","2.50",2.78481666666667
"71",2,3448,NA,"M","Hendrick&quotechars car is completely red and his car is not red","control_bad","control_bad2","control",1,16,32,"English",0,"Male","2.50",2.78481666666667
"72",2,7159,"F","F","Owen shoveled snow last winter","admit","17","C",0.87,17,32,"English",0,"Male","2.50",2.78481666666667
"73",2,2591,"M","M","Zoe calculated the tip","reveal","10","NonProj",0.7,18,32,"English",0,"Male","2.50",2.78481666666667
"74",2,8863,NA,"M","Dana has never smoked in her life and she stopped smoking recently","control_bad","control_bad1","control",1,19,32,"English",0,"Male","2.50",2.78481666666667
"75",2,3248,NA,"F","Madison laughed loudly and she didn&quotechart laugh","control_bad","control_bad3","control",1,20,32,"English",0,"Male","2.50",2.78481666666667
"76",2,9751,"M","F","Emily bought a car yesterday","prove","8","C",1,21,32,"English",0,"Male","2.50",2.78481666666667
"77",2,3951,NA,"F","Zack believes that I&quotecharm married, but I&quotecharm actually single","control_good","control_good1","control",0,22,32,"English",0,"Male","2.50",2.78481666666667
"78",2,4394,"M","M","Grace visited her sister","confirm","9","C",0.87,23,32,"English",0,"Male","2.50",2.78481666666667
"79",2,2901,"F","M","Tony had a drink last night","say","15","C",0.52,24,32,"English",0,"Male","2.50",2.78481666666667
"80",2,3944,"M","F","Olivia sleeps until noon","discover","4","NonProj",0.85,25,32,"English",0,"Male","2.50",2.78481666666667
"81",2,3743,"F","F","Julian dances salsa","hear","18","C",0.76,26,32,"English",0,"Male","2.50",2.78481666666667
"82",2,3583,"F","M","Charley speaks Spanish","announce","20","C",0.63,27,32,"English",0,"Male","2.50",2.78481666666667
"83",2,3305,"M","M","Isabella ate a steak on Sunday","acknowledge","7","C",0.62,28,32,"English",0,"Male","2.50",2.78481666666667
"84",2,3543,"F","F","Jackson ran 10 miles","inform_Sam","13","C",0.36,29,32,"English",0,"Male","2.50",2.78481666666667
"85",3,7021,"M","F","Josie went on vacation to France","annoyed","2","NonProj",0.86,2,35,"English",0,"Male","",2.19378333333333
"86",3,7047,"F","M","Jayden rented a car","inform_Sam","14","C",0.45,3,35,"English",0,"Male","",2.19378333333333
"87",3,4368,"F","F","Josh learned to ride a bike yesterday","pretend","16","NonProj",0.18,4,35,"English",0,"Male","",2.19378333333333
"88",3,3280,NA,"F","Madison laughed loudly and she didn&quotechart laugh","control_bad","control_bad3","control",1,5,35,"English",0,"Male","",2.19378333333333
"89",3,2448,NA,"F","Zack believes that I&quotecharm married, but I&quotecharm actually single","control_good","control_good1","control",0.18,6,35,"English",0,"Male","",2.19378333333333
"90",3,2720,"M","M","Grace visited her sister","announce","9","C",0.25,7,35,"English",0,"Male","",2.19378333333333
"91",3,3320,"F","M","Frank got a cat","establish","12","NonProj",0.4,8,35,"English",0,"Male","",2.19378333333333
"92",3,3000,"F","F","Julian dances salsa","reveal","18","NonProj",0.37,9,35,"English",0,"Male","",2.19378333333333
"93",3,3448,"M","F","Isabella ate a steak on Sunday","discover","7","NonProj",0.42,10,35,"English",0,"Male","",2.19378333333333
"94",3,4192,"M","F","Zoe calculated the tip","prove","10","C",0.72,11,35,"English",0,"Male","",2.19378333333333
"95",3,3512,"M","M","Sophia got a tattoo","acknowledge","5","C",0.4,12,35,"English",0,"Male","",2.19378333333333
"96",3,2983,"M","F","Mary is pregnant","suggest","1","C",0.16,13,35,"English",0,"Male","",2.19378333333333
"97",3,4007,"M","M","Olivia sleeps until noon","be_right_that","4","C",0.99,14,35,"English",0,"Male","",2.19378333333333
"98",3,2599,"F","M","Jon walks to work","confess","19","C",0.4,15,35,"English",0,"Male","",2.19378333333333
"99",3,9551,NA,"M","Frederick is both smarter and taller than I am","control_good","control_good3","control",0,16,35,"English",0,"Male","",2.19378333333333
"100",3,4048,"F","F","Tony had a drink last night","think","15","NonProj",0,17,35,"English",0,"Male","",2.19378333333333
"101",3,3047,"F","F","Jackson ran 10 miles","see","13","NonProj",0.38,18,35,"English",0,"Male","",2.19378333333333
"102",3,3456,NA,"M","Dana has never smoked in her life and she stopped smoking recently","control_bad","control_bad1","control",1,19,35,"English",0,"Male","",2.19378333333333
"103",3,4048,"F","M","Danny ate the last cupcake","know","11","NonProj",0.33,20,35,"English",0,"Male","",2.19378333333333
"104",3,7367,NA,"F","Sebastian lives in the USA and has never been to the USA","control_bad","control_bad4","control",1,21,35,"English",0,"Male","",2.19378333333333
"105",3,3160,"F","M","Charley speaks Spanish","admit","20","C",0.44,22,35,"English",0,"Male","",2.19378333333333
"106",3,2593,NA,"F","Tara wants me to cook for her and I&quotecharm a terrific cook","control_good","control_good2","control",0,23,35,"English",0,"Male","",2.19378333333333
"107",3,2567,"M","F","Mia drank 2 cocktails last night","hear","6","C",0.19,24,35,"English",0,"Male","",2.19378333333333
"108",3,2576,"M","F","Emily bought a car yesterday","confirm","8","C",0.28,25,35,"English",0,"Male","",2.19378333333333
"109",3,2344,"F","F","Owen shoveled snow last winter","say","17","C",0.16,26,35,"English",0,"Male","",2.19378333333333
"110",3,2824,NA,"M","Vanessa is really good at math, but I&quotecharm not","control_good","control_good4","control",0,27,35,"English",0,"Male","",2.19378333333333
"111",3,2536,"M","F","Emma studied on Saturday morning","demonstrate","3","C",0.18,28,35,"English",0,"Male","",2.19378333333333
"112",3,2359,NA,"M","Hendrick&quotechars car is completely red and his car is not red","control_bad","control_bad2","control",1,29,35,"English",0,"Male","",2.19378333333333
"113",4,8627,NA,"F","Hendrick&quotechars car is completely red and his car is not red","control_bad","control_bad2","control",0.98,2,46,"english",0,"Female","",3.49511666666667
"114",4,6893,"F","M","Danny ate the last cupcake","establish","11","NonProj",0.39,3,46,"english",0,"Female","",3.49511666666667
"115",4,7146,"M","M","Mia drank 2 cocktails last night","confirm","6","C",0.74,4,46,"english",0,"Female","",3.49511666666667
"116",4,5517,"M","F","Grace visited her sister","acknowledge","9","C",0.76,5,46,"english",0,"Female","",3.49511666666667
"117",4,4660,NA,"F","Dana has never smoked in her life and she stopped smoking recently","control_bad","control_bad1","control",0.99,6,46,"english",0,"Female","",3.49511666666667
"118",4,2900,NA,"M","Vanessa is really good at math, but I&quotecharm not","control_good","control_good4","control",0.17,7,46,"english",0,"Female","",3.49511666666667
"119",4,4746,NA,"F","Sebastian lives in the USA and has never been to the USA","control_bad","control_bad4","control",0.99,8,46,"english",0,"Female","",3.49511666666667
"120",4,5074,NA,"F","Frederick is both smarter and taller than I am","control_good","control_good3","control",0.05,9,46,"english",0,"Female","",3.49511666666667
"121",4,4936,"M","F","Josie went on vacation to France","see","2","NonProj",0.66,10,46,"english",0,"Female","",3.49511666666667
"122",4,3193,NA,"F","Zack believes that I&quotecharm married, but I&quotecharm actually single","control_good","control_good1","control",0.65,11,46,"english",0,"Female","",3.49511666666667
"123",4,4053,"F","F","Jayden rented a car","confess","14","C",0.78,12,46,"english",0,"Female","",3.49511666666667
"124",4,2870,"M","M","Isabella ate a steak on Sunday","announce","7","C",0.75,13,46,"english",0,"Female","",3.49511666666667
"125",4,3746,"M","M","Emma studied on Saturday morning","say","3","C",0.78,14,46,"english",0,"Female","",3.49511666666667
"126",4,3772,"M","F","Sophia got a tattoo","know","5","NonProj",0.78,15,46,"english",0,"Female","",3.49511666666667
"127",4,4916,"F","F","Owen shoveled snow last winter","annoyed","17","NonProj",0.73,16,46,"english",0,"Female","",3.49511666666667
"128",4,3775,"F","F","Julian dances salsa","pretend","18","NonProj",0.72,17,46,"english",0,"Female","",3.49511666666667
"129",4,5647,"F","F","Tony had a drink last night","prove","15","C",0.87,18,46,"english",0,"Female","",3.49511666666667
"130",4,3756,"M","M","Olivia sleeps until noon","discover","4","NonProj",0.84,19,46,"english",0,"Female","",3.49511666666667
"131",4,3110,"M","F","Emily bought a car yesterday","hear","8","C",0.78,20,46,"english",0,"Female","",3.49511666666667
"132",4,17445,NA,"M","Tara wants me to cook for her and I&quotecharm a terrific cook","control_good","control_good2","control",0,21,46,"english",0,"Female","",3.49511666666667
"133",4,2546,"M","F","Mary is pregnant","admit","1","C",0.77,22,46,"english",0,"Female","",3.49511666666667
"134",4,13999,"F","F","Jon walks to work","reveal","19","NonProj",0.76,23,46,"english",0,"Female","",3.49511666666667
"135",4,4384,"F","M","Josh learned to ride a bike yesterday","inform_Sam","16","C",0.76,24,46,"english",0,"Female","",3.49511666666667
"136",4,4435,NA,"F","Madison laughed loudly and she didn&quotechart laugh","control_bad","control_bad3","control",0.98,25,46,"english",0,"Female","",3.49511666666667
"137",4,9284,"F","F","Jackson ran 10 miles","demonstrate","13","C",0.81,26,46,"english",0,"Female","",3.49511666666667
"138",4,6014,"F","F","Frank got a cat","suggest","12","C",0.85,27,46,"english",0,"Female","",3.49511666666667
"139",4,2400,"M","M","Zoe calculated the tip","think","10","NonProj",0.76,28,46,"english",0,"Female","",3.49511666666667
"140",4,5645,"F","M","Charley speaks Spanish","be_right_that","20","C",0.81,29,46,"english",0,"Female","",3.49511666666667
"141",5,20481,"M","M","Zoe calculated the tip","inform_Sam","10","C",0.28,2,28,"English",0,"Female","",3.64683333333333
"142",5,10340,"M","M","Mary is pregnant","see","1","NonProj",0.26,3,28,"English",0,"Female","",3.64683333333333
"143",5,4200,NA,"F","Madison laughed loudly and she didn&quotechart laugh","control_bad","control_bad3","control",0.94,4,28,"English",0,"Female","",3.64683333333333
"144",5,6296,"F","F","Josh learned to ride a bike yesterday","acknowledge","16","C",0.14,5,28,"English",0,"Female","",3.64683333333333
"145",5,4464,"F","F","Charley speaks Spanish","announce","20","C",0.09,6,28,"English",0,"Female","",3.64683333333333
"146",5,11672,"M","F","Josie went on vacation to France","annoyed","2","NonProj",0.14,7,28,"English",0,"Female","",3.64683333333333
"147",5,4807,"F","F","Jon walks to work","think","19","NonProj",0.2,8,28,"English",0,"Female","",3.64683333333333
"148",5,10604,NA,"M","Vanessa is really good at math, but I&quotecharm not","control_good","control_good4","control",0,9,28,"English",0,"Female","",3.64683333333333
"149",5,6588,NA,"M","Tara wants me to cook for her and I&quotecharm a terrific cook","control_good","control_good2","control",0,10,28,"English",0,"Female","",3.64683333333333
"150",5,5607,NA,"F","Zack believes that I&quotecharm married, but I&quotecharm actually single","control_good","control_good1","control",0.39,11,28,"English",0,"Female","",3.64683333333333
"151",5,6356,"M","F","Sophia got a tattoo","establish","5","NonProj",0.46,12,28,"English",0,"Female","",3.64683333333333
"152",5,4440,"M","M","Grace visited her sister","demonstrate","9","C",0.48,13,28,"English",0,"Female","",3.64683333333333
"153",5,4937,"M","F","Emily bought a car yesterday","confirm","8","C",0.42,14,28,"English",0,"Female","",3.64683333333333
"154",5,13007,"F","F","Owen shoveled snow last winter","prove","17","C",0.46,15,28,"English",0,"Female","",3.64683333333333
"155",5,12813,NA,"F","Frederick is both smarter and taller than I am","control_good","control_good3","control",0,16,28,"English",0,"Female","",3.64683333333333
"156",5,3491,"M","F","Olivia sleeps until noon","reveal","4","NonProj",0.38,17,28,"English",0,"Female","",3.64683333333333
"157",5,5820,"M","F","Mia drank 2 cocktails last night","hear","6","C",0.39,18,28,"English",0,"Female","",3.64683333333333
"158",5,5817,"M","F","Isabella ate a steak on Sunday","say","7","C",0.38,19,28,"English",0,"Female","",3.64683333333333
"159",5,2644,"F","M","Julian dances salsa","know","18","NonProj",0.28,20,28,"English",0,"Female","",3.64683333333333
"160",5,3204,"F","F","Tony had a drink last night","suggest","15","C",0.3,21,28,"English",0,"Female","",3.64683333333333
"161",5,6580,"F","M","Danny ate the last cupcake","discover","11","NonProj",0.69,22,28,"English",0,"Female","",3.64683333333333
"162",5,4992,"M","M","Emma studied on Saturday morning","confess","3","C",0.48,23,28,"English",0,"Female","",3.64683333333333
"163",5,6595,"F","M","Frank got a cat","pretend","12","NonProj",0.3,24,28,"English",0,"Female","",3.64683333333333
"164",5,3652,NA,"F","Sebastian lives in the USA and has never been to the USA","control_bad","control_bad4","control",1,25,28,"English",0,"Female","",3.64683333333333
"165",5,6060,"F","M","Jackson ran 10 miles","admit","13","C",0.38,26,28,"English",0,"Female","",3.64683333333333
"166",5,4567,NA,"M","Hendrick&quotechars car is completely red and his car is not red","control_bad","control_bad2","control",1,27,28,"English",0,"Female","",3.64683333333333
"167",5,2328,"F","F","Jayden rented a car","be_right_that","14","C",0.29,28,28,"English",0,"Female","",3.64683333333333
"168",5,3936,NA,"M","Dana has never smoked in her life and she stopped smoking recently","control_bad","control_bad1","control",1,29,28,"English",0,"Female","",3.64683333333333
"169",6,12262,"M","F","Josie went on vacation to France","discover","2","NonProj",0.33,2,41,"english",0,"Male","You need to explain what you mean by contradictory, but I know you didn&quotechart.",3.66035
"170",6,12056,"F","F","Owen shoveled snow last winter","prove","17","C",0.32,3,41,"english",0,"Male","You need to explain what you mean by contradictory, but I know you didn&quotechart.",3.66035
"171",6,6953,NA,"F","Madison laughed loudly and she didn&quotechart laugh","control_bad","control_bad3","control",0.98,4,41,"english",0,"Male","You need to explain what you mean by contradictory, but I know you didn&quotechart.",3.66035
"172",6,6857,"F","F","Charley speaks Spanish","see","20","NonProj",0.85,5,41,"english",0,"Male","You need to explain what you mean by contradictory, but I know you didn&quotechart.",3.66035
"173",6,7541,"M","F","Mia drank 2 cocktails last night","say","6","C",0.81,6,41,"english",0,"Male","You need to explain what you mean by contradictory, but I know you didn&quotechart.",3.66035
"174",6,5850,NA,"M","Frederick is both smarter and taller than I am","control_good","control_good3","control",0.02,7,41,"english",0,"Male","You need to explain what you mean by contradictory, but I know you didn&quotechart.",3.66035
"175",6,6792,"M","F","Isabella ate a steak on Sunday","hear","7","C",0.33,8,41,"english",0,"Male","You need to explain what you mean by contradictory, but I know you didn&quotechart.",3.66035
"176",6,4316,"F","F","Danny ate the last cupcake","announce","11","C",0.51,9,41,"english",0,"Male","You need to explain what you mean by contradictory, but I know you didn&quotechart.",3.66035
"177",6,3355,"F","F","Jackson ran 10 miles","confirm","13","C",0.48,10,41,"english",0,"Male","You need to explain what you mean by contradictory, but I know you didn&quotechart.",3.66035
"178",6,7737,"F","M","Josh learned to ride a bike yesterday","acknowledge","16","C",0.93,11,41,"english",0,"Male","You need to explain what you mean by contradictory, but I know you didn&quotechart.",3.66035
"179",6,5098,NA,"M","Hendrick&quotechars car is completely red and his car is not red","control_bad","control_bad2","control",0.97,12,41,"english",0,"Male","You need to explain what you mean by contradictory, but I know you didn&quotechart.",3.66035
"180",6,8110,"M","M","Sophia got a tattoo","be_right_that","5","C",0.27,13,41,"english",0,"Male","You need to explain what you mean by contradictory, but I know you didn&quotechart.",3.66035
"181",6,6460,NA,"M","Dana has never smoked in her life and she stopped smoking recently","control_bad","control_bad1","control",0.95,14,41,"english",0,"Male","You need to explain what you mean by contradictory, but I know you didn&quotechart.",3.66035
"182",6,5559,"M","F","Grace visited her sister","pretend","9","NonProj",0.35,15,41,"english",0,"Male","You need to explain what you mean by contradictory, but I know you didn&quotechart.",3.66035
"183",6,4709,"M","F","Olivia sleeps until noon","reveal","4","NonProj",0.58,16,41,"english",0,"Male","You need to explain what you mean by contradictory, but I know you didn&quotechart.",3.66035
"184",6,4640,NA,"F","Sebastian lives in the USA and has never been to the USA","control_bad","control_bad4","control",0.97,17,41,"english",0,"Male","You need to explain what you mean by contradictory, but I know you didn&quotechart.",3.66035
"185",6,3369,"F","F","Jayden rented a car","admit","14","C",0.34,18,41,"english",0,"Male","You need to explain what you mean by contradictory, but I know you didn&quotechart.",3.66035
"186",6,3992,"F","F","Tony had a drink last night","know","15","NonProj",0.38,19,41,"english",0,"Male","You need to explain what you mean by contradictory, but I know you didn&quotechart.",3.66035
"187",6,2560,"F","M","Frank got a cat","inform_Sam","12","C",0.38,20,41,"english",0,"Male","You need to explain what you mean by contradictory, but I know you didn&quotechart.",3.66035
"188",6,5087,NA,"F","Vanessa is really good at math, but I&quotecharm not","control_good","control_good4","control",0,21,41,"english",0,"Male","You need to explain what you mean by contradictory, but I know you didn&quotechart.",3.66035
"189",6,4981,NA,"F","Tara wants me to cook for her and I&quotecharm a terrific cook","control_good","control_good2","control",0.02,22,41,"english",0,"Male","You need to explain what you mean by contradictory, but I know you didn&quotechart.",3.66035
"190",6,2793,"M","M","Zoe calculated the tip","demonstrate","10","C",0.49,23,41,"english",0,"Male","You need to explain what you mean by contradictory, but I know you didn&quotechart.",3.66035
"191",6,2577,"F","M","Jon walks to work","think","19","NonProj",0.5,24,41,"english",0,"Male","You need to explain what you mean by contradictory, but I know you didn&quotechart.",3.66035
"192",6,6875,"M","M","Mary is pregnant","annoyed","1","NonProj",0.86,25,41,"english",0,"Male","You need to explain what you mean by contradictory, but I know you didn&quotechart.",3.66035
"193",6,4228,"F","F","Julian dances salsa","suggest","18","C",0.46,26,41,"english",0,"Male","You need to explain what you mean by contradictory, but I know you didn&quotechart.",3.66035
"194",6,3417,"M","M","Emma studied on Saturday morning","establish","3","NonProj",0.43,27,41,"english",0,"Male","You need to explain what you mean by contradictory, but I know you didn&quotechart.",3.66035
"195",6,7087,NA,"M","Zack believes that I&quotecharm married, but I&quotecharm actually single","control_good","control_good1","control",0.99,28,41,"english",0,"Male","You need to explain what you mean by contradictory, but I know you didn&quotechart.",3.66035
"196",6,3770,"M","M","Emily bought a car yesterday","confess","8","C",0.35,29,41,"english",0,"Male","You need to explain what you mean by contradictory, but I know you didn&quotechart.",3.66035
"197",7,5668,"F","F","Jon walks to work","be_right_that","19","C",1,2,32,"English",0,"Female","",3.57113333333333
"198",7,5951,"M","F","Mary is pregnant","prove","1","C",1,3,32,"English",0,"Female","",3.57113333333333
"199",7,10024,"M","F","Zoe calculated the tip","announce","10","C",1,4,32,"English",0,"Female","",3.57113333333333
"200",7,5735,"F","M","Josh learned to ride a bike yesterday","inform_Sam","16","C",1,5,32,"English",0,"Female","",3.57113333333333
"201",7,8825,"M","M","Emily bought a car yesterday","pretend","8","NonProj",0.79,6,32,"English",0,"Female","",3.57113333333333
"202",7,5015,NA,"M","Hendrick&quotechars car is completely red and his car is not red","control_bad","control_bad2","control",1,7,32,"English",0,"Female","",3.57113333333333
"203",7,6792,NA,"M","Tara wants me to cook for her and I&quotecharm a terrific cook","control_good","control_good2","control",0,8,32,"English",0,"Female","",3.57113333333333
"204",7,4967,NA,"F","Dana has never smoked in her life and she stopped smoking recently","control_bad","control_bad1","control",1,9,32,"English",0,"Female","",3.57113333333333
