"item","verb","frame","voice","polarity","conditional2","Mean","low.ci","high.ci","SD","C"
"admit-that_S-active-positive-matrix","admit","that_S","active","positive","matrix",0.95,0.1,0.05,0.158113883008419,10
"advertise-that_S-active-negative-conditional","advertise","that_S","active","negative","conditional",0.7,0.15,0.15,0.258198889747161,10
"advertise-that_S-active-negative-matrix","advertise","that_S","active","negative","matrix",0.45,0.15,0.15,0.283823106098773,10
"advertise-that_S-active-positive-conditional","advertise","that_S","active","positive","conditional",0.8,0.15,0.15,0.258198889747161,10
"advertise-that_S-active-positive-matrix","advertise","that_S","active","positive","matrix",0.8,0.15,0.15,0.258198889747161,10
"advise-that_S-active-negative-conditional","advise","that_S","active","negative","conditional",0.55,0.05,0.1,0.158113883008419,10
"advise-that_S-active-negative-matrix","advise","that_S","active","negative","matrix",0.55,0.15125,0.15,0.283823106098773,10
"advise-that_S-active-positive-conditional","advise","that_S","active","positive","conditional",0.95,0.1,0.05,0.158113883008419,10
"advise-that_S-active-positive-matrix","advise","that_S","active","positive","matrix",0.8,0.15,0.15,0.258198889747161,10
"advise-that_S-passive-negative-conditional","advise","that_S","passive","negative","conditional",0.7,0.15,0.15,0.258198889747161,10
"advise-that_S-passive-negative-matrix","advise","that_S","passive","negative","matrix",0.7,0.15,0.15,0.258198889747161,10
"advise-that_S-passive-positive-conditional","advise","that_S","passive","positive","conditional",0.95,0.1,0.05,0.158113883008419,10
"advise-that_S-passive-positive-matrix","advise","that_S","passive","positive","matrix",0.9,0.15,0.1,0.210818510677892,10
"affirm-that_S-active-negative-conditional","affirm","that_S","active","negative","conditional",0.5,0.2,0.2,0.333333333333333,10
"affirm-that_S-active-negative-matrix","affirm","that_S","active","negative","matrix",0.5,0.15,0.15,0.235702260395516,10
"affirm-that_S-active-positive-conditional","affirm","that_S","active","positive","conditional",0.9,0.15,0.1,0.210818510677892,10
"affirm-that_S-active-positive-matrix","affirm","that_S","active","positive","matrix",0.944444444444444,0.111111111111111,0.0555555555555556,0.166666666666667,9
"aggravate-that_S-passive-negative-conditional","aggravate","that_S","passive","negative","conditional",0.8,0.25,0.2,0.349602949390051,10
"aggravate-that_S-passive-negative-matrix","aggravate","that_S","passive","negative","matrix",0.95,0.1,0.05,0.158113883008419,10
"aggravate-that_S-passive-positive-conditional","aggravate","that_S","passive","positive","conditional",1,0,0,0,10
"aggravate-that_S-passive-positive-matrix","aggravate","that_S","passive","positive","matrix",0.95,0.1,0.05,0.158113883008419,10
"agitate-that_S-passive-negative-conditional","agitate","that_S","passive","negative","conditional",0.8,0.15,0.15,0.258198889747161,10
"agitate-that_S-passive-negative-matrix","agitate","that_S","passive","negative","matrix",0.9,0.15,0.1,0.210818510677892,10
"agitate-that_S-passive-positive-conditional","agitate","that_S","passive","positive","conditional",0.85,0.2,0.15,0.337474278855276,10
"agitate-that_S-passive-positive-matrix","agitate","that_S","passive","positive","matrix",1,0,0,0,10
"agonize-that_S-active-negative-conditional","agonize","that_S","active","negative","conditional",0.7,0.2,0.2,0.349602949390051,10
"agonize-that_S-active-negative-matrix","agonize","that_S","active","negative","matrix",0.65,0.2,0.2,0.337474278855276,10
"agonize-that_S-active-positive-conditional","agonize","that_S","active","positive","conditional",0.9,0.15,0.1,0.210818510677892,10
"agonize-that_S-active-positive-matrix","agonize","that_S","active","positive","matrix",0.75,0.15,0.15,0.263523138347365,10
"agonize-that_S-passive-negative-conditional","agonize","that_S","passive","negative","conditional",0.85,0.15,0.15,0.241522945769824,10
"agonize-that_S-passive-negative-matrix","agonize","that_S","passive","negative","matrix",0.9,0.15,0.1,0.210818510677892,10
"agonize-that_S-passive-positive-conditional","agonize","that_S","passive","positive","conditional",0.95,0.1,0.05,0.158113883008419,10
"agonize-that_S-passive-positive-matrix","agonize","that_S","passive","positive","matrix",0.9,0.15,0.1,0.210818510677892,10
"agree-that_S-active-negative-conditional","agree","that_S","active","negative","conditional",0.4,0.15,0.1,0.210818510677892,10
"agree-that_S-active-negative-matrix","agree","that_S","active","negative","matrix",0.55,0.05,0.1,0.158113883008419,10
"agree-that_S-active-positive-conditional","agree","that_S","active","positive","conditional",0.85,0.2,0.15,0.337474278855276,10
"agree-that_S-active-positive-matrix","agree","that_S","active","positive","matrix",0.944444444444444,0.111111111111111,0.0555555555555556,0.166666666666667,9
"alarm-that_S-passive-negative-conditional","alarm","that_S","passive","negative","conditional",0.6,0.2,0.151249999999999,0.316227766016838,10
"alarm-that_S-passive-negative-matrix","alarm","that_S","passive","negative","matrix",1,0,0,0,9
"alarm-that_S-passive-positive-conditional","alarm","that_S","passive","positive","conditional",0.95,0.1,0.05,0.158113883008419,10
"alarm-that_S-passive-positive-matrix","alarm","that_S","passive","positive","matrix",1,0,0,0,10
"alert-that_S-passive-negative-conditional","alert","that_S","passive","negative","conditional",0.7,0.25,0.2,0.349602949390051,10
"alert-that_S-passive-negative-matrix","alert","that_S","passive","negative","matrix",0.65,0.2,0.2,0.337474278855276,10
"alert-that_S-passive-positive-conditional","alert","that_S","passive","positive","conditional",0.95,0.1,0.05,0.158113883008419,10
"alert-that_S-passive-positive-matrix","alert","that_S","passive","positive","matrix",0.95,0.1,0.05,0.158113883008419,10
"allege-that_S-active-negative-conditional","allege","that_S","active","negative","conditional",0.45,0.1,0.05,0.158113883008419,10
"allege-that_S-active-negative-matrix","allege","that_S","active","negative","matrix",0.45,0.1,0.05,0.158113883008419,10
"allege-that_S-active-positive-conditional","allege","that_S","active","positive","conditional",0.6,0.1,0.15,0.210818510677892,10
"allege-that_S-active-positive-matrix","allege","that_S","active","positive","matrix",0.55,0.05,0.1,0.158113883008419,10
"amaze-that_S-passive-negative-conditional","amaze","that_S","passive","negative","conditional",0.85,0.15,0.101249999999999,0.241522945769824,10
"amaze-that_S-passive-negative-matrix","amaze","that_S","passive","negative","matrix",0.95,0.1,0.05,0.158113883008419,10
"amaze-that_S-passive-positive-conditional","amaze","that_S","passive","positive","conditional",1,0,0,0,10
"amaze-that_S-passive-positive-matrix","amaze","that_S","passive","positive","matrix",1,0,0,0,10
"amuse-that_S-passive-negative-conditional","amuse","that_S","passive","negative","conditional",1,0,0,0,10
"amuse-that_S-passive-negative-matrix","amuse","that_S","passive","negative","matrix",0.95,0.1,0.05,0.158113883008419,10
"amuse-that_S-passive-positive-conditional","amuse","that_S","passive","positive","conditional",0.95,0.1,0.05,0.158113883008419,10
"amuse-that_S-passive-positive-matrix","amuse","that_S","passive","positive","matrix",1,0,0,0,10
"anger-that_S-passive-negative-conditional","anger","that_S","passive","negative","conditional",0.75,0.25,0.25,0.424918292799399,10
"anger-that_S-passive-negative-matrix","anger","that_S","passive","negative","matrix",0.8,0.3,0.2,0.421637021355784,10
"anger-that_S-passive-positive-conditional","anger","that_S","passive","positive","conditional",1,0,0,0,10
"anger-that_S-passive-positive-matrix","anger","that_S","passive","positive","matrix",1,0,0,0,10
"anguish-that_S-passive-negative-conditional","anguish","that_S","passive","negative","conditional",0.75,0.15,0.15,0.263523138347365,10
"anguish-that_S-passive-negative-matrix","anguish","that_S","passive","negative","matrix",0.9,0.15,0.1,0.210818510677892,10
"anguish-that_S-passive-positive-conditional","anguish","that_S","passive","positive","conditional",0.9,0.1,0.1,0.210818510677892,10
"anguish-that_S-passive-positive-matrix","anguish","that_S","passive","positive","matrix",1,0,0,0,10
"announce-that_S-active-negative-conditional","announce","that_S","active","negative","conditional",0.55,0.15,0.15,0.283823106098773,10
"announce-that_S-active-negative-matrix","announce","that_S","active","negative","matrix",0.8,0.15125,0.15,0.258198889747161,10
"announce-that_S-active-positive-conditional","announce","that_S","active","positive","conditional",0.95,0.1,0.05,0.158113883008419,10
"announce-that_S-active-positive-matrix","announce","that_S","active","positive","matrix",0.95,0.1,0.05,0.158113883008419,10
"annoy-that_S-passive-negative-conditional","annoy","that_S","passive","negative","conditional",0.7,0.25,0.25,0.421637021355784,10
"annoy-that_S-passive-negative-matrix","annoy","that_S","passive","negative","matrix",0.95,0.1,0.05,0.158113883008419,10
"annoy-that_S-passive-positive-conditional","annoy","that_S","passive","positive","conditional",1,0,0,0,10
"annoy-that_S-passive-positive-matrix","annoy","that_S","passive","positive","matrix",1,0,0,0,10
"answer-that_S-active-negative-conditional","answer","that_S","active","negative","conditional",0.45,0.1,0.05,0.158113883008419,10
"answer-that_S-active-negative-matrix","answer","that_S","active","negative","matrix",0.55,0.15,0.15,0.283823106098773,10
"answer-that_S-active-positive-conditional","answer","that_S","active","positive","conditional",0.95,0.1,0.05,0.158113883008419,10
"answer-that_S-active-positive-matrix","answer","that_S","active","positive","matrix",0.95,0.1,0.05,0.158113883008419,10
"anticipate-that_S-active-negative-conditional","anticipate","that_S","active","negative","conditional",0.8,0.15,0.15,0.258198889747161,10
"anticipate-that_S-active-negative-matrix","anticipate","that_S","active","negative","matrix",0.8,0.15,0.15,0.258198889747161,10
"anticipate-that_S-active-positive-conditional","anticipate","that_S","active","positive","conditional",0.5,0,0,0,10
"anticipate-that_S-active-positive-matrix","anticipate","that_S","active","positive","matrix",0.6,0.1,0.15,0.210818510677892,10
"apologize-that_S-active-negative-conditional","apologize","that_S","active","negative","conditional",0.7,0.2,0.2,0.349602949390051,10
"apologize-that_S-active-negative-matrix","apologize","that_S","active","negative","matrix",1,0,0,0,9
"apologize-that_S-active-positive-conditional","apologize","that_S","active","positive","conditional",0.9,0.2,0.1,0.316227766016838,10
"apologize-that_S-active-positive-matrix","apologize","that_S","active","positive","matrix",1,0,0,0,9
"appall-that_S-passive-negative-conditional","appall","that_S","passive","negative","conditional",0.85,0.15,0.15,0.241522945769824,10
"appall-that_S-passive-negative-matrix","appall","that_S","passive","negative","matrix",0.9,0.15,0.1,0.210818510677892,10
"appall-that_S-passive-positive-conditional","appall","that_S","passive","positive","conditional",0.9,0.15,0.1,0.210818510677892,10
"appall-that_S-passive-positive-matrix","appall","that_S","passive","positive","matrix",1,0,0,0,10
"appreciate-that_S-active-negative-conditional","appreciate","that_S","active","negative","conditional",0.8,0.2,0.2,0.349602949390051,10
"appreciate-that_S-active-negative-matrix","appreciate","that_S","active","negative","matrix",0.85,0.2,0.15,0.337474278855276,10
"appreciate-that_S-active-positive-conditional","appreciate","that_S","active","positive","conditional",1,0,0,0,10
"appreciate-that_S-active-positive-matrix","appreciate","that_S","active","positive","matrix",0.95,0.1,0.05,0.158113883008419,10
"approve-that_S-active-negative-conditional","approve","that_S","active","negative","conditional",0.85,0.2,0.15,0.337474278855276,10
"approve-that_S-active-negative-matrix","approve","that_S","active","negative","matrix",0.65,0.25,0.25,0.411636301174282,10
"approve-that_S-active-positive-conditional","approve","that_S","active","positive","conditional",1,0,0,0,10
"approve-that_S-active-positive-matrix","approve","that_S","active","positive","matrix",0.9,0.1,0.1,0.210818510677892,10
"argue-that_S-active-negative-conditional","argue","that_S","active","negative","conditional",0.55,0.05,0.1,0.158113883008419,10
"argue-that_S-active-negative-matrix","argue","that_S","active","negative","matrix",0.7,0.15,0.15,0.258198889747161,10
"argue-that_S-active-positive-conditional","argue","that_S","active","positive","conditional",0.6,0.1,0.15,0.210818510677892,10
"argue-that_S-active-positive-matrix","argue","that_S","active","positive","matrix",0.6,0.1,0.15,0.210818510677892,10
"arouse-that_S-passive-negative-conditional","arouse","that_S","passive","negative","conditional",0.75,0.15,0.15,0.263523138347365,10
"arouse-that_S-passive-negative-matrix","arouse","that_S","passive","negative","matrix",0.85,0.15,0.15,0.241522945769824,10
"arouse-that_S-passive-positive-conditional","arouse","that_S","passive","positive","conditional",0.95,0.1,0.05,0.158113883008419,10
"arouse-that_S-passive-positive-matrix","arouse","that_S","passive","positive","matrix",0.9,0.2,0.1,0.316227766016838,10
"articulate-that_S-active-negative-conditional","articulate","that_S","active","negative","conditional",0.4,0.15,0.1,0.210818510677892,10
"articulate-that_S-active-negative-matrix","articulate","that_S","active","negative","matrix",0.6,0.2,0.2,0.316227766016838,10
"articulate-that_S-active-positive-conditional","articulate","that_S","active","positive","conditional",0.9,0.15,0.1,0.210818510677892,10
"articulate-that_S-active-positive-matrix","articulate","that_S","active","positive","matrix",0.85,0.15,0.15,0.241522945769824,10
"ascertain-that_S-active-negative-conditional","ascertain","that_S","active","negative","conditional",0.5,0.2,0.2,0.333333333333333,10
"ascertain-that_S-active-negative-matrix","ascertain","that_S","active","negative","matrix",0.6,0.1,0.15,0.210818510677892,10
"ascertain-that_S-active-positive-conditional","ascertain","that_S","active","positive","conditional",0.85,0.15,0.15,0.241522945769824,10
"ascertain-that_S-active-positive-matrix","ascertain","that_S","active","positive","matrix",0.777777777777778,0.166666666666667,0.166666666666667,0.263523138347365,9
"assert-that_S-active-negative-conditional","assert","that_S","active","negative","conditional",0.5,0.15,0.15,0.235702260395516,10
"assert-that_S-active-negative-matrix","assert","that_S","active","negative","matrix",0.5,0.2,0.2,0.333333333333333,10
"assert-that_S-active-positive-conditional","assert","that_S","active","positive","conditional",0.95,0.1,0.05,0.158113883008419,10
"assert-that_S-active-positive-matrix","assert","that_S","active","positive","matrix",0.75,0.15,0.15,0.263523138347365,10
"assess-that_S-active-negative-conditional","assess","that_S","active","negative","conditional",0.55,0.05,0.1,0.158113883008419,10
"assess-that_S-active-negative-matrix","assess","that_S","active","negative","matrix",0.65,0.1,0.15,0.241522945769824,10
"assess-that_S-active-positive-conditional","assess","that_S","active","positive","conditional",0.65,0.15,0.15,0.241522945769824,10
"assess-that_S-active-positive-matrix","assess","that_S","active","positive","matrix",0.7,0.2,0.2,0.349602949390051,10
"assume-that_S-active-negative-conditional","assume","that_S","active","negative","conditional",0.45,0.1,0.05,0.158113883008419,10
"assume-that_S-active-negative-matrix","assume","that_S","active","negative","matrix",0.55,0.05,0.1,0.158113883008419,10
"assume-that_S-active-positive-conditional","assume","that_S","active","positive","conditional",0.55,0.05,0.1,0.158113883008419,10
"assume-that_S-active-positive-matrix","assume","that_S","active","positive","matrix",0.5,0.15,0.15,0.235702260395516,10
"assure-that_S-passive-negative-conditional","assure","that_S","passive","negative","conditional",0.4,0.15,0.1,0.210818510677892,10
"assure-that_S-passive-negative-matrix","assure","that_S","passive","negative","matrix",0.5,0,0,0,10
"assure-that_S-passive-positive-conditional","assure","that_S","passive","positive","conditional",0.8,0.15,0.15,0.258198889747161,10
"assure-that_S-passive-positive-matrix","assure","that_S","passive","positive","matrix",0.75,0.15,0.15,0.263523138347365,10
"astonish-that_S-passive-negative-conditional","astonish","that_S","passive","negative","conditional",0.9,0.15,0.1,0.210818510677892,10
"astonish-that_S-passive-negative-matrix","astonish","that_S","passive","negative","matrix",1,0,0,0,10
"astonish-that_S-passive-positive-conditional","astonish","that_S","passive","positive","conditional",1,0,0,0,10
"astonish-that_S-passive-positive-matrix","astonish","that_S","passive","positive","matrix",1,0,0,0,10
"astound-that_S-passive-negative-conditional","astound","that_S","passive","negative","conditional",0.85,0.15,0.15,0.241522945769824,10
"astound-that_S-passive-negative-matrix","astound","that_S","passive","negative","matrix",1,0,0,0,10
"astound-that_S-passive-positive-conditional","astound","that_S","passive","positive","conditional",1,0,0,0,10
"astound-that_S-passive-positive-matrix","astound","that_S","passive","positive","matrix",1,0,0,0,10
"attest-that_S-active-negative-conditional","attest","that_S","active","negative","conditional",0.55,0.15,0.15,0.283823106098773,10
"attest-that_S-active-negative-matrix","attest","that_S","active","negative","matrix",0.45,0.1,0.05,0.158113883008419,10
"attest-that_S-active-positive-conditional","attest","that_S","active","positive","conditional",0.95,0.1,0.05,0.158113883008419,10
"attest-that_S-active-positive-matrix","attest","that_S","active","positive","matrix",0.8,0.15,0.15,0.258198889747161,10
"authorize-that_S-active-negative-conditional","authorize","that_S","active","negative","conditional",0.55,0.05,0.1,0.158113883008419,10
"authorize-that_S-active-negative-matrix","authorize","that_S","active","negative","matrix",0.7,0.15,0.15,0.258198889747161,10
"authorize-that_S-active-positive-conditional","authorize","that_S","active","positive","conditional",0.7,0.15,0.15,0.258198889747161,10
"authorize-that_S-active-positive-matrix","authorize","that_S","active","positive","matrix",0.75,0.15,0.15,0.263523138347365,10
"babble-that_S-active-negative-conditional","babble","that_S","active","negative","conditional",0.55,0.15,0.15,0.283823106098773,10
"babble-that_S-active-negative-matrix","babble","that_S","active","negative","matrix",0.6,0.2,0.151249999999999,0.316227766016838,10
"babble-that_S-active-positive-conditional","babble","that_S","active","positive","conditional",0.95,0.1,0.05,0.158113883008419,10
"babble-that_S-active-positive-matrix","babble","that_S","active","positive","matrix",0.8,0.15,0.15,0.258198889747161,10
"baffle-that_S-passive-negative-conditional","baffle","that_S","passive","negative","conditional",0.8,0.15,0.15,0.258198889747161,10
"baffle-that_S-passive-negative-matrix","baffle","that_S","passive","negative","matrix",0.9,0.2,0.1,0.316227766016838,10
"baffle-that_S-passive-positive-conditional","baffle","that_S","passive","positive","conditional",0.95,0.1,0.05,0.158113883008419,10
"baffle-that_S-passive-positive-matrix","baffle","that_S","passive","positive","matrix",1,0,0,0,10
"bark-that_S-active-negative-conditional","bark","that_S","active","negative","conditional",0.65,0.2,0.2,0.337474278855276,10
"bark-that_S-active-negative-matrix","bark","that_S","active","negative","matrix",0.555555555555556,0.222222222222222,0.222222222222222,0.390867979985286,9
"bark-that_S-active-positive-conditional","bark","that_S","active","positive","conditional",0.7,0.15,0.15,0.258198889747161,10
"bark-that_S-active-positive-matrix","bark","that_S","active","positive","matrix",0.8,0.25,0.15,0.349602949390051,10
"beam-that_S-active-negative-conditional","beam","that_S","active","negative","conditional",0.45,0.15,0.151249999999999,0.283823106098773,10
"beam-that_S-active-negative-matrix","beam","that_S","active","negative","matrix",0.55,0.15,0.2,0.283823106098773,10
"beam-that_S-active-positive-conditional","beam","that_S","active","positive","conditional",0.95,0.1,0.05,0.158113883008419,10
"beam-that_S-active-positive-matrix","beam","that_S","active","positive","matrix",0.85,0.15,0.15,0.241522945769824,10
"befuddle-that_S-passive-negative-conditional","befuddle","that_S","passive","negative","conditional",0.75,0.15,0.15,0.263523138347365,10
"befuddle-that_S-passive-negative-matrix","befuddle","that_S","passive","negative","matrix",0.7,0.25,0.2,0.349602949390051,10
"befuddle-that_S-passive-positive-conditional","befuddle","that_S","passive","positive","conditional",1,0,0,0,10
"befuddle-that_S-passive-positive-matrix","befuddle","that_S","passive","positive","matrix",0.85,0.25,0.15,0.337474278855276,10
"believe-that_S-active-negative-conditional","believe","that_S","active","negative","conditional",0.5,0.15,0.15,0.235702260395516,10
"believe-that_S-active-negative-matrix","believe","that_S","active","negative","matrix",0.55,0.05,0.1,0.158113883008419,10
"believe-that_S-active-positive-conditional","believe","that_S","active","positive","conditional",0.45,0.1,0.05,0.158113883008419,10
"believe-that_S-active-positive-matrix","believe","that_S","active","positive","matrix",0.444444444444444,0.111111111111111,0.0555555555555556,0.166666666666667,9
"bellow-that_S-active-negative-conditional","bellow","that_S","active","negative","conditional",0.5,0.15,0.15,0.235702260395516,10
"bellow-that_S-active-negative-matrix","bellow","that_S","active","negative","matrix",0.6,0.1,0.15,0.210818510677892,10
"bellow-that_S-active-positive-conditional","bellow","that_S","active","positive","conditional",0.95,0.1,0.05,0.158113883008419,10
"bellow-that_S-active-positive-matrix","bellow","that_S","active","positive","matrix",0.8,0.15,0.15,0.258198889747161,10
"bet-that_S-active-negative-conditional","bet","that_S","active","negative","conditional",0.6,0.1,0.15,0.210818510677892,10
"bet-that_S-active-negative-matrix","bet","that_S","active","negative","matrix",0.55,0.05,0.1,0.158113883008419,10
"bet-that_S-active-positive-conditional","bet","that_S","active","positive","conditional",0.5,0,0,0,10
"bet-that_S-active-positive-matrix","bet","that_S","active","positive","matrix",0.55,0.05,0.1,0.158113883008419,10
"bet-that_S-passive-negative-conditional","bet","that_S","passive","negative","conditional",0.45,0.1,0.05,0.158113883008419,10
"bet-that_S-passive-negative-matrix","bet","that_S","passive","negative","matrix",0.611111111111111,0.111111111111111,0.166666666666667,0.220479275922049,9
"bet-that_S-passive-positive-conditional","bet","that_S","passive","positive","conditional",0.5,0,0,0,10
"bet-that_S-passive-positive-matrix","bet","that_S","passive","positive","matrix",0.6,0.1,0.15,0.210818510677892,10
"bicker-that_S-active-negative-conditional","bicker","that_S","active","negative","conditional",0.6,0.1,0.15,0.210818510677892,10
"bicker-that_S-active-negative-matrix","bicker","that_S","active","negative","matrix",0.65,0.15,0.15,0.241522945769824,10
"bicker-that_S-active-positive-conditional","bicker","that_S","active","positive","conditional",0.7,0.15,0.15,0.258198889747161,10
"bicker-that_S-active-positive-matrix","bicker","that_S","active","positive","matrix",0.7,0.15,0.15,0.258198889747161,10
"bitch-that_S-active-negative-conditional","bitch","that_S","active","negative","conditional",0.7,0.15,0.15,0.258198889747161,10
"bitch-that_S-active-negative-matrix","bitch","that_S","active","negative","matrix",0.75,0.15,0.15,0.263523138347365,10
"bitch-that_S-active-positive-conditional","bitch","that_S","active","positive","conditional",1,0,0,0,10
"bitch-that_S-active-positive-matrix","bitch","that_S","active","positive","matrix",1,0,0,0,10
"blame-that_S-passive-negative-conditional","blame","that_S","passive","negative","conditional",0.6,0.1,0.15,0.210818510677892,10
"blame-that_S-passive-negative-matrix","blame","that_S","passive","negative","matrix",0.85,0.15,0.15,0.241522945769824,10
"blame-that_S-passive-positive-conditional","blame","that_S","passive","positive","conditional",0.85,0.15,0.1,0.241522945769824,10
"blame-that_S-passive-positive-matrix","blame","that_S","passive","positive","matrix",0.95,0.1,0.05,0.158113883008419,10
"bless-that_S-passive-negative-conditional","bless","that_S","passive","negative","conditional",0.6,0.1,0.15,0.210818510677892,10
"bless-that_S-passive-negative-matrix","bless","that_S","passive","negative","matrix",0.9,0.15,0.1,0.210818510677892,10
"bless-that_S-passive-positive-conditional","bless","that_S","passive","positive","conditional",0.9,0.15,0.1,0.210818510677892,10
"bless-that_S-passive-positive-matrix","bless","that_S","passive","positive","matrix",0.85,0.15,0.15,0.241522945769824,10
"blog-that_S-active-negative-conditional","blog","that_S","active","negative","conditional",0.5,0,0,0,10
"blog-that_S-active-negative-matrix","blog","that_S","active","negative","matrix",0.55,0.15,0.15,0.283823106098773,10
"blog-that_S-active-positive-conditional","blog","that_S","active","positive","conditional",0.95,0.1,0.05,0.158113883008419,10
"blog-that_S-active-positive-matrix","blog","that_S","active","positive","matrix",0.8,0.2,0.2,0.349602949390051,10
"boast-that_S-active-negative-conditional","boast","that_S","active","negative","conditional",0.5,0,0,0,10
"boast-that_S-active-negative-matrix","boast","that_S","active","negative","matrix",0.6,0.2,0.2,0.316227766016838,10
"boast-that_S-active-positive-conditional","boast","that_S","active","positive","conditional",1,0,0,0,10
"boast-that_S-active-positive-matrix","boast","that_S","active","positive","matrix",0.75,0.2,0.2,0.353553390593274,10
"boggle-that_S-passive-negative-conditional","boggle","that_S","passive","negative","conditional",0.7,0.2,0.2,0.349602949390051,10
"boggle-that_S-passive-negative-matrix","boggle","that_S","passive","negative","matrix",0.9,0.15,0.1,0.210818510677892,10
"boggle-that_S-passive-positive-conditional","boggle","that_S","passive","positive","conditional",0.95,0.1,0.05,0.158113883008419,10
"boggle-that_S-passive-positive-matrix","boggle","that_S","passive","positive","matrix",1,0,0,0,10
"bother-that_S-passive-negative-conditional","bother","that_S","passive","negative","conditional",1,0,0,0,10
"bother-that_S-passive-negative-matrix","bother","that_S","passive","negative","matrix",0.95,0.1,0.05,0.158113883008419,10
"bother-that_S-passive-positive-conditional","bother","that_S","passive","positive","conditional",1,0,0,0,10
"bother-that_S-passive-positive-matrix","bother","that_S","passive","positive","matrix",1,0,0,0,10
"brag-that_S-active-negative-conditional","brag","that_S","active","negative","conditional",0.45,0.15,0.15,0.283823106098773,10
"brag-that_S-active-negative-matrix","brag","that_S","active","negative","matrix",0.55,0.2,0.2,0.368932393686311,10
"brag-that_S-active-positive-conditional","brag","that_S","active","positive","conditional",0.9,0.10125,0.1,0.210818510677892,10
"brag-that_S-active-positive-matrix","brag","that_S","active","positive","matrix",0.95,0.1,0.05,0.158113883008419,10
"broadcast-that_S-active-negative-conditional","broadcast","that_S","active","negative","conditional",0.55,0.2,0.2,0.368932393686311,10
"broadcast-that_S-active-negative-matrix","broadcast","that_S","active","negative","matrix",0.7,0.2,0.2,0.349602949390051,10
"broadcast-that_S-active-positive-conditional","broadcast","that_S","active","positive","conditional",0.9,0.15,0.1,0.210818510677892,10
"broadcast-that_S-active-positive-matrix","broadcast","that_S","active","positive","matrix",0.85,0.15,0.1,0.241522945769824,10
"bug-that_S-passive-negative-conditional","bug","that_S","passive","negative","conditional",0.7,0.2,0.2,0.349602949390051,10
"bug-that_S-passive-negative-matrix","bug","that_S","passive","negative","matrix",0.9,0.15,0.1,0.210818510677892,10
"bug-that_S-passive-positive-conditional","bug","that_S","passive","positive","conditional",0.95,0.1,0.05,0.158113883008419,10
"bug-that_S-passive-positive-matrix","bug","that_S","passive","positive","matrix",0.8,0.25,0.15,0.349602949390051,10
"cackle-that_S-active-negative-conditional","cackle","that_S","active","negative","conditional",0.55,0.05,0.1,0.158113883008419,10
"cackle-that_S-active-negative-matrix","cackle","that_S","active","negative","matrix",0.75,0.15,0.15,0.263523138347365,10
"cackle-that_S-active-positive-conditional","cackle","that_S","active","positive","conditional",0.85,0.15,0.15,0.241522945769824,10
"cackle-that_S-active-positive-matrix","cackle","that_S","active","positive","matrix",0.85,0.15,0.1,0.241522945769824,10
"calculate-that_S-active-negative-conditional","calculate","that_S","active","negative","conditional",0.5,0,0,0,10
"calculate-that_S-active-negative-matrix","calculate","that_S","active","negative","matrix",0.7,0.2,0.2,0.349602949390051,10
"calculate-that_S-active-positive-conditional","calculate","that_S","active","positive","conditional",0.55,0.15,0.15,0.283823106098773,10
