participant,list,presentationorder,verb,frame,voice,polarity,conditional,veridicality,acceptability,nativeenglish,exclude
219,0,37,bet,that_S,passive,negative,False,maybe,3,True,False
219,0,38,publicize,that_S,active,negative,False,yes,5,True,False
219,0,39,expose,that_S,active,positive,False,yes,5,True,False
219,0,40,indicate,that_S,active,positive,False,yes,6,True,False
219,0,41,ruminate,that_S,active,positive,False,maybe,5,True,False
219,0,42,forecast,that_S,active,negative,False,no,4,True,False
219,0,43,inform,that_S,passive,positive,False,yes,6,True,False
219,0,44,circulate,that_S,active,negative,False,maybe,3,True,False
219,0,45,gall,that_S,passive,negative,False,maybe,3,True,False
219,0,46,terrify,that_S,passive,positive,False,yes,7,True,False
219,0,47,figure,that_S,active,positive,False,maybe,5,True,False
219,0,48,alarm,that_S,passive,negative,False,yes,7,True,False
219,0,49,remember,that_S,active,positive,False,yes,6,True,False
219,0,50,reminisce,that_S,active,negative,False,maybe,5,True,False
219,0,51,believe,that_S,active,positive,False,maybe,6,True,False
219,0,52,clarify,that_S,active,positive,False,yes,5,True,False
219,0,53,fool,that_S,passive,positive,False,maybe,5,True,False
219,0,54,email,that_S,passive,positive,False,yes,7,True,False
219,0,55,apologize,that_S,active,negative,False,yes,6,True,False
219,0,56,devastate,that_S,passive,positive,False,yes,7,True,False
219,0,57,demonstrate,that_S,active,negative,False,no,5,True,False
219,0,58,okay,that_S,active,positive,False,yes,3,True,False
219,0,59,reassert,that_S,active,positive,False,yes,4,True,False
219,0,60,loathe,that_S,active,negative,False,maybe,3,True,False
219,0,61,scare,that_S,passive,negative,False,maybe,3,True,False
219,0,62,apologize,that_S,active,positive,False,yes,5,True,False
219,0,63,generalize,that_S,active,positive,False,maybe,3,True,False
219,0,64,omit,that_S,active,positive,False,no,6,True,False
219,0,65,affirm,that_S,active,positive,False,yes,7,True,False
219,0,66,warn,that_S,active,negative,False,maybe,2,True,False
219,0,67,weep,that_S,active,positive,False,yes,6,True,False
219,0,68,bark,that_S,active,negative,False,no,1,True,False
135,0,1,surmise,that_S,active,positive,False,maybe,4,True,False
135,0,2,update,that_S,active,positive,False,yes,6,True,False
135,0,3,disregard,that_S,active,negative,False,maybe,4,True,False
135,0,4,agree,that_S,active,positive,False,maybe,6,True,False
135,0,5,surmise,that_S,active,negative,False,maybe,6,True,False
135,0,6,evaluate,that_S,active,positive,False,yes,6,True,False
135,0,7,remind,that_S,passive,negative,False,yes,5,True,False
135,0,8,vow,that_S,active,positive,False,maybe,5,True,False
135,0,9,sing,that_S,active,negative,False,maybe,1,True,False
135,0,10,sob,that_S,active,positive,False,yes,6,True,False
135,0,11,prove,that_S,active,negative,False,maybe,5,True,False
135,0,12,rediscover,that_S,active,positive,False,yes,6,True,False
135,0,13,ascertain,that_S,active,positive,False,yes,6,True,False
135,0,14,communicate,that_S,active,positive,False,yes,7,True,False
135,0,15,depress,that_S,passive,positive,False,yes,7,True,False
135,0,16,radio,that_S,passive,negative,False,yes,5,True,False
135,0,17,volunteer,that_S,active,positive,False,maybe,1,True,False
135,0,18,deny,that_S,active,positive,False,maybe,6,True,False
135,0,19,delight,that_S,passive,positive,False,yes,7,True,False
135,0,20,ensure,that_S,active,negative,False,no,5,True,False
135,0,21,jar,that_S,passive,negative,False,yes,6,True,False
135,0,22,find_out,that_S,active,negative,False,yes,6,True,False
135,0,23,dislike,that_S,active,negative,False,yes,7,True,False
135,0,24,disapprove,that_S,active,positive,False,yes,4,True,False
135,0,25,forgive,that_S,passive,positive,False,yes,7,True,False
135,0,26,flip_out,that_S,active,positive,False,yes,6,True,False
135,0,27,flatter,that_S,passive,positive,False,yes,5,True,False
135,0,28,fake,that_S,active,positive,False,no,6,True,False
135,0,29,hearten,that_S,passive,negative,False,maybe,3,True,False
135,0,30,imagine,that_S,active,negative,False,maybe,4,True,False
135,0,31,stimulate,that_S,passive,negative,False,yes,6,True,False
135,0,32,demand,that_S,active,positive,False,no,5,True,False
135,0,33,growl,that_S,active,negative,False,maybe,2,True,False
135,0,34,ruminate,that_S,active,negative,False,maybe,5,True,False
135,0,35,forgive,that_S,active,positive,False,yes,5,True,False
135,0,36,dismay,that_S,passive,negative,False,yes,5,True,False
135,0,37,bet,that_S,passive,negative,False,maybe,4,True,False
135,0,38,publicize,that_S,active,negative,False,yes,6,True,False
135,0,39,expose,that_S,active,positive,False,yes,7,True,False
135,0,40,indicate,that_S,active,positive,False,maybe,5,True,False
135,0,41,ruminate,that_S,active,positive,False,maybe,6,True,False
135,0,42,forecast,that_S,active,negative,False,yes,7,True,False
135,0,43,inform,that_S,passive,positive,False,yes,7,True,False
135,0,44,circulate,that_S,active,negative,False,maybe,5,True,False
135,0,45,gall,that_S,passive,negative,False,yes,5,True,False
135,0,46,terrify,that_S,passive,positive,False,yes,7,True,False
135,0,47,figure,that_S,active,positive,False,maybe,5,True,False
135,0,48,alarm,that_S,passive,negative,False,yes,7,True,False
135,0,49,remember,that_S,active,positive,False,yes,5,True,False
135,0,50,reminisce,that_S,active,negative,False,yes,5,True,False
135,0,51,believe,that_S,active,positive,False,maybe,5,True,False
135,0,52,clarify,that_S,active,positive,False,yes,7,True,False
135,0,53,fool,that_S,passive,positive,False,no,7,True,False
135,0,54,email,that_S,passive,positive,False,yes,7,True,False
135,0,55,apologize,that_S,active,negative,False,yes,7,True,False
135,0,56,devastate,that_S,passive,positive,False,yes,6,True,False
135,0,57,demonstrate,that_S,active,negative,False,maybe,4,True,False
135,0,58,okay,that_S,active,positive,False,maybe,2,True,False
135,0,59,reassert,that_S,active,positive,False,yes,6,True,False
135,0,60,loathe,that_S,active,negative,False,maybe,2,True,False
135,0,61,scare,that_S,passive,negative,False,yes,6,True,False
135,0,62,apologize,that_S,active,positive,False,yes,5,True,False
135,0,63,generalize,that_S,active,positive,False,maybe,5,True,False
135,0,64,omit,that_S,active,positive,False,yes,5,True,False
135,0,65,affirm,that_S,active,positive,False,maybe,5,True,False
135,0,66,warn,that_S,active,negative,False,yes,5,True,False
135,0,67,weep,that_S,active,positive,False,yes,5,True,False
135,0,68,bark,that_S,active,negative,False,maybe,1,True,False
134,0,1,surmise,that_S,active,positive,False,maybe,5,True,False
134,0,2,update,that_S,active,positive,False,yes,7,True,False
134,0,3,disregard,that_S,active,negative,False,maybe,3,True,False
134,0,4,agree,that_S,active,positive,False,yes,7,True,False
134,0,5,surmise,that_S,active,negative,False,yes,4,True,False
134,0,6,evaluate,that_S,active,positive,False,yes,5,True,False
134,0,7,remind,that_S,passive,negative,False,no,3,True,False
134,0,8,vow,that_S,active,positive,False,maybe,5,True,False
134,0,9,sing,that_S,active,negative,False,no,2,True,False
134,0,10,sob,that_S,active,positive,False,yes,6,True,False
134,0,11,prove,that_S,active,negative,False,no,3,True,False
134,0,12,rediscover,that_S,active,positive,False,yes,5,True,False
134,0,13,ascertain,that_S,active,positive,False,yes,7,True,False
134,0,14,communicate,that_S,active,positive,False,yes,7,True,False
134,0,15,depress,that_S,passive,positive,False,yes,7,True,False
134,0,16,radio,that_S,passive,negative,False,yes,5,True,False
134,0,17,volunteer,that_S,active,positive,False,maybe,2,True,False
134,0,18,deny,that_S,active,positive,False,yes,7,True,False
134,0,19,delight,that_S,passive,positive,False,yes,6,True,False
134,0,20,ensure,that_S,active,negative,False,no,3,True,False
134,0,21,jar,that_S,passive,negative,False,no,3,True,False
134,0,22,find_out,that_S,active,negative,False,yes,7,True,False
134,0,23,dislike,that_S,active,negative,False,maybe,3,True,False
134,0,24,disapprove,that_S,active,positive,False,yes,7,True,False
134,0,25,forgive,that_S,passive,positive,False,yes,7,True,False
134,0,26,flip_out,that_S,active,positive,False,yes,6,True,False
134,0,27,flatter,that_S,passive,positive,False,yes,6,True,False
134,0,28,fake,that_S,active,positive,False,no,5,True,False
134,0,29,hearten,that_S,passive,negative,False,maybe,3,True,False
134,0,30,imagine,that_S,active,negative,False,maybe,3,True,False
134,0,31,stimulate,that_S,passive,negative,False,yes,5,True,False
134,0,32,demand,that_S,active,positive,False,no,2,True,False
134,0,33,growl,that_S,active,negative,False,no,3,True,False
134,0,34,ruminate,that_S,active,negative,False,no,2,True,False
134,0,35,forgive,that_S,active,positive,False,yes,5,True,False
134,0,36,dismay,that_S,passive,negative,False,no,3,True,False
134,0,37,bet,that_S,passive,negative,False,yes,7,True,False
134,0,38,publicize,that_S,active,negative,False,yes,7,True,False
134,0,39,expose,that_S,active,positive,False,yes,5,True,False
134,0,40,indicate,that_S,active,positive,False,yes,7,True,False
134,0,41,ruminate,that_S,active,positive,False,yes,7,True,False
134,0,42,forecast,that_S,active,negative,False,no,3,True,False
134,0,43,inform,that_S,passive,positive,False,yes,5,True,False
134,0,44,circulate,that_S,active,negative,False,yes,4,True,False
134,0,45,gall,that_S,passive,negative,False,yes,5,True,False
134,0,46,terrify,that_S,passive,positive,False,yes,5,True,False
134,0,47,figure,that_S,active,positive,False,yes,7,True,False
134,0,48,alarm,that_S,passive,negative,False,yes,5,True,False
134,0,49,remember,that_S,active,positive,False,yes,5,True,False
134,0,50,reminisce,that_S,active,negative,False,no,4,True,False
134,0,51,believe,that_S,active,positive,False,maybe,5,True,False
134,0,52,clarify,that_S,active,positive,False,yes,5,True,False
134,0,53,fool,that_S,passive,positive,False,no,5,True,False
134,0,54,email,that_S,passive,positive,False,yes,7,True,False
134,0,55,apologize,that_S,active,negative,False,yes,5,True,False
134,0,56,devastate,that_S,passive,positive,False,yes,7,True,False
134,0,57,demonstrate,that_S,active,negative,False,no,2,True,False
134,0,58,okay,that_S,active,positive,False,maybe,3,True,False
134,0,59,reassert,that_S,active,positive,False,yes,7,True,False
134,0,60,loathe,that_S,active,negative,False,no,4,True,False
134,0,61,scare,that_S,passive,negative,False,yes,5,True,False
134,0,62,apologize,that_S,active,positive,False,yes,7,True,False
134,0,63,generalize,that_S,active,positive,False,maybe,4,True,False
134,0,64,omit,that_S,active,positive,False,yes,7,True,False
134,0,65,affirm,that_S,active,positive,False,yes,7,True,False
134,0,66,warn,that_S,active,negative,False,maybe,3,True,False
134,0,67,weep,that_S,active,positive,False,yes,7,True,False
134,0,68,bark,that_S,active,negative,False,no,2,True,False
217,0,1,surmise,that_S,active,positive,False,yes,6,True,False
217,0,2,update,that_S,active,positive,False,yes,4,True,False
217,0,3,disregard,that_S,active,negative,False,yes,7,True,False
217,0,4,agree,that_S,active,positive,False,yes,7,True,False
217,0,5,surmise,that_S,active,negative,False,yes,6,True,False
217,0,6,evaluate,that_S,active,positive,False,maybe,5,True,False
217,0,7,remind,that_S,passive,negative,False,yes,6,True,False
217,0,8,vow,that_S,active,positive,False,maybe,6,True,False
217,0,9,sing,that_S,active,negative,False,maybe,5,True,False
217,0,10,sob,that_S,active,positive,False,yes,5,True,False
217,0,11,prove,that_S,active,negative,False,maybe,6,True,False
217,0,12,rediscover,that_S,active,positive,False,yes,5,True,False
217,0,13,ascertain,that_S,active,positive,False,yes,7,True,False
217,0,14,communicate,that_S,active,positive,False,yes,6,True,False
217,0,15,depress,that_S,passive,positive,False,yes,6,True,False
217,0,16,radio,that_S,passive,negative,False,yes,5,True,False
217,0,17,volunteer,that_S,active,positive,False,maybe,6,True,False
217,0,18,deny,that_S,active,positive,False,yes,6,True,False
217,0,19,delight,that_S,passive,positive,False,yes,7,True,False
217,0,20,ensure,that_S,active,negative,False,maybe,5,True,False
217,0,21,jar,that_S,passive,negative,False,yes,6,True,False
217,0,22,find_out,that_S,active,negative,False,yes,5,True,False
217,0,23,dislike,that_S,active,negative,False,yes,6,True,False
217,0,24,disapprove,that_S,active,positive,False,yes,6,True,False
217,0,25,forgive,that_S,passive,positive,False,yes,6,True,False
217,0,26,flip_out,that_S,active,positive,False,yes,4,True,False
217,0,27,flatter,that_S,passive,positive,False,yes,6,True,False
217,0,28,fake,that_S,active,positive,False,no,6,True,False
217,0,29,hearten,that_S,passive,negative,False,yes,5,True,False
217,0,30,imagine,that_S,active,negative,False,yes,6,True,False
217,0,31,stimulate,that_S,passive,negative,False,yes,4,True,False
217,0,32,demand,that_S,active,positive,False,maybe,6,True,False
217,0,33,growl,that_S,active,negative,False,yes,5,True,False
217,0,34,ruminate,that_S,active,negative,False,yes,5,True,False
217,0,35,forgive,that_S,active,positive,False,yes,7,True,False
217,0,36,dismay,that_S,passive,negative,False,yes,5,True,False
217,0,37,bet,that_S,passive,negative,False,maybe,4,True,False
217,0,38,publicize,that_S,active,negative,False,yes,6,True,False
217,0,39,expose,that_S,active,positive,False,yes,7,True,False
217,0,40,indicate,that_S,active,positive,False,yes,6,True,False
217,0,41,ruminate,that_S,active,positive,False,maybe,5,True,False
217,0,42,forecast,that_S,active,negative,False,maybe,4,True,False
217,0,43,inform,that_S,passive,positive,False,yes,6,True,False
217,0,44,circulate,that_S,active,negative,False,yes,6,True,False
217,0,45,gall,that_S,passive,negative,False,yes,5,True,False
217,0,46,terrify,that_S,passive,positive,False,yes,7,True,False
217,0,47,figure,that_S,active,positive,False,maybe,5,True,False
217,0,48,alarm,that_S,passive,negative,False,yes,6,True,False
217,0,49,remember,that_S,active,positive,False,yes,6,True,False
217,0,50,reminisce,that_S,active,negative,False,yes,5,True,False
217,0,51,believe,that_S,active,positive,False,no,6,True,False
217,0,52,clarify,that_S,active,positive,False,yes,6,True,False
217,0,53,fool,that_S,passive,positive,False,no,7,True,False
217,0,54,email,that_S,passive,positive,False,yes,5,True,False
217,0,55,apologize,that_S,active,negative,False,yes,5,True,False
217,0,56,devastate,that_S,passive,positive,False,yes,7,True,False
217,0,57,demonstrate,that_S,active,negative,False,no,5,True,False
217,0,58,okay,that_S,active,positive,False,yes,5,True,False
217,0,59,reassert,that_S,active,positive,False,yes,7,True,False
217,0,60,loathe,that_S,active,negative,False,yes,6,True,False
217,0,61,scare,that_S,passive,negative,False,yes,5,True,False
217,0,62,apologize,that_S,active,positive,False,yes,6,True,False
217,0,63,generalize,that_S,active,positive,False,maybe,6,True,False
217,0,64,omit,that_S,active,positive,False,yes,6,True,False
217,0,65,affirm,that_S,active,positive,False,yes,7,True,False
217,0,66,warn,that_S,active,negative,False,yes,6,True,False
217,0,67,weep,that_S,active,positive,False,yes,5,True,False
217,0,68,bark,that_S,active,negative,False,yes,4,True,False
165,0,1,surmise,that_S,active,positive,False,maybe,6,True,False
165,0,2,update,that_S,active,positive,False,yes,6,True,False
165,0,3,disregard,that_S,active,negative,False,yes,5,True,False
165,0,4,agree,that_S,active,positive,False,yes,7,True,False
165,0,5,surmise,that_S,active,negative,False,maybe,3,True,False
165,0,6,evaluate,that_S,active,positive,False,maybe,6,True,False
165,0,7,remind,that_S,passive,negative,False,yes,7,True,False
165,0,8,vow,that_S,active,positive,False,maybe,5,True,False
165,0,9,sing,that_S,active,negative,False,maybe,3,True,False
165,0,10,sob,that_S,active,positive,False,yes,4,True,False
165,0,11,prove,that_S,active,negative,False,maybe,6,True,False
165,0,12,rediscover,that_S,active,positive,False,yes,4,True,False
165,0,13,ascertain,that_S,active,positive,False,yes,5,True,False
165,0,14,communicate,that_S,active,positive,False,yes,6,True,False
165,0,15,depress,that_S,passive,positive,False,yes,6,True,False
165,0,16,radio,that_S,passive,negative,False,yes,6,True,False
165,0,17,volunteer,that_S,active,positive,False,maybe,5,True,False
165,0,18,deny,that_S,active,positive,False,maybe,6,True,False
165,0,19,delight,that_S,passive,positive,False,yes,7,True,False
165,0,20,ensure,that_S,active,negative,False,maybe,6,True,False
165,0,21,jar,that_S,passive,negative,False,yes,3,True,False
165,0,22,find_out,that_S,active,negative,False,maybe,6,True,False
165,0,23,dislike,that_S,active,negative,False,yes,5,True,False
165,0,24,disapprove,that_S,active,positive,False,maybe,5,True,False
165,0,25,forgive,that_S,passive,positive,False,maybe,3,True,False
165,0,26,flip_out,that_S,active,positive,False,yes,7,True,False
165,0,27,flatter,that_S,passive,positive,False,yes,6,True,False
165,0,28,fake,that_S,active,positive,False,no,6,True,False
165,0,29,hearten,that_S,passive,negative,False,yes,6,True,False
165,0,30,imagine,that_S,active,negative,False,maybe,5,True,False
165,0,31,stimulate,that_S,passive,negative,False,yes,3,True,False
165,0,32,demand,that_S,active,positive,False,maybe,6,True,False
165,0,33,growl,that_S,active,negative,False,maybe,3,True,False
165,0,34,ruminate,that_S,active,negative,False,maybe,4,True,False
165,0,35,forgive,that_S,active,positive,False,yes,5,True,False
165,0,36,dismay,that_S,passive,negative,False,yes,5,True,False
165,0,37,bet,that_S,passive,negative,False,maybe,2,True,False
165,0,38,publicize,that_S,active,negative,False,maybe,6,True,False
165,0,39,expose,that_S,active,positive,False,yes,6,True,False
165,0,40,indicate,that_S,active,positive,False,maybe,6,True,False
165,0,41,ruminate,that_S,active,positive,False,maybe,6,True,False
165,0,42,forecast,that_S,active,negative,False,maybe,6,True,False
165,0,43,inform,that_S,passive,positive,False,yes,7,True,False
165,0,44,circulate,that_S,active,negative,False,maybe,3,True,False
165,0,45,gall,that_S,passive,negative,False,yes,3,True,False
165,0,46,terrify,that_S,passive,positive,False,maybe,6,True,False
165,0,47,figure,that_S,active,positive,False,maybe,5,True,False
165,0,48,alarm,that_S,passive,negative,False,yes,6,True,False
165,0,49,remember,that_S,active,positive,False,yes,7,True,False
165,0,50,reminisce,that_S,active,negative,False,maybe,5,True,False
165,0,51,believe,that_S,active,positive,False,maybe,6,True,False
165,0,52,clarify,that_S,active,positive,False,yes,6,True,False
165,0,53,fool,that_S,passive,positive,False,maybe,3,True,False
165,0,54,email,that_S,passive,positive,False,yes,7,True,False
165,0,55,apologize,that_S,active,negative,False,yes,6,True,False
165,0,56,devastate,that_S,passive,positive,False,yes,7,True,False
165,0,57,demonstrate,that_S,active,negative,False,maybe,6,True,False
165,0,58,okay,that_S,active,positive,False,maybe,3,True,False
165,0,59,reassert,that_S,active,positive,False,yes,6,True,False
165,0,60,loathe,that_S,active,negative,False,yes,4,True,False
165,0,61,scare,that_S,passive,negative,False,yes,6,True,False
165,0,62,apologize,that_S,active,positive,False,yes,7,True,False
165,0,63,generalize,that_S,active,positive,False,maybe,4,True,False
165,0,64,omit,that_S,active,positive,False,maybe,3,True,False
165,0,65,affirm,that_S,active,positive,False,yes,6,True,False
165,0,66,warn,that_S,active,negative,False,yes,6,True,False
165,0,67,weep,that_S,active,positive,False,yes,7,True,False
165,0,68,bark,that_S,active,negative,False,maybe,3,True,False
55,0,1,surmise,that_S,active,positive,False,maybe,6,True,False
55,0,2,update,that_S,active,positive,False,yes,5,True,False
55,0,3,disregard,that_S,active,negative,False,yes,5,True,False
55,0,4,agree,that_S,active,positive,False,yes,7,True,False
55,0,5,surmise,that_S,active,negative,False,maybe,6,True,False
55,0,6,evaluate,that_S,active,positive,False,yes,6,True,False
55,0,7,remind,that_S,passive,negative,False,yes,6,True,False
55,0,8,vow,that_S,active,positive,False,yes,6,True,False
55,0,9,sing,that_S,active,negative,False,maybe,4,True,False
55,0,10,sob,that_S,active,positive,False,yes,5,True,False
55,0,11,prove,that_S,active,negative,False,maybe,6,True,False
55,0,12,rediscover,that_S,active,positive,False,yes,6,True,False
55,0,13,ascertain,that_S,active,positive,False,yes,6,True,False
55,0,14,communicate,that_S,active,positive,False,maybe,6,True,False
55,0,15,depress,that_S,passive,positive,False,yes,7,True,False
55,0,16,radio,that_S,passive,negative,False,yes,5,True,False
55,0,17,volunteer,that_S,active,positive,False,yes,6,True,False
55,0,18,deny,that_S,active,positive,False,no,6,True,False
55,0,19,delight,that_S,passive,positive,False,yes,7,True,False
55,0,20,ensure,that_S,active,negative,False,maybe,6,True,False
55,0,21,jar,that_S,passive,negative,False,yes,5,True,False
55,0,22,find_out,that_S,active,negative,False,yes,6,True,False
55,0,23,dislike,that_S,active,negative,False,yes,6,True,False
55,0,24,disapprove,that_S,active,positive,False,yes,6,True,False
55,0,25,forgive,that_S,passive,positive,False,yes,6,True,False
55,0,26,flip_out,that_S,active,positive,False,yes,6,True,False
55,0,27,flatter,that_S,passive,positive,False,yes,6,True,False
55,0,28,fake,that_S,active,positive,False,no,6,True,False
55,0,29,hearten,that_S,passive,negative,False,yes,5,True,False
55,0,30,imagine,that_S,active,negative,False,maybe,5,True,False
55,0,31,stimulate,that_S,passive,negative,False,yes,5,True,False
55,0,32,demand,that_S,active,positive,False,maybe,6,True,False
55,0,33,growl,that_S,active,negative,False,maybe,2,True,False
55,0,34,ruminate,that_S,active,negative,False,maybe,3,True,False
55,0,35,forgive,that_S,active,positive,False,yes,5,True,False
55,0,36,dismay,that_S,passive,negative,False,yes,5,True,False
55,0,37,bet,that_S,passive,negative,False,maybe,2,True,False
55,0,38,publicize,that_S,active,negative,False,yes,6,True,False
55,0,39,expose,that_S,active,positive,False,yes,6,True,False
55,0,40,indicate,that_S,active,positive,False,yes,6,True,False
55,0,41,ruminate,that_S,active,positive,False,maybe,4,True,False
55,0,42,forecast,that_S,active,negative,False,maybe,5,True,False
55,0,43,inform,that_S,passive,positive,False,yes,7,True,False
55,0,44,circulate,that_S,active,negative,False,yes,6,True,False
55,0,45,gall,that_S,passive,negative,False,yes,5,True,False
55,0,46,terrify,that_S,passive,positive,False,yes,5,True,False
55,0,47,figure,that_S,active,positive,False,maybe,6,True,False
55,0,48,alarm,that_S,passive,negative,False,yes,6,True,False
55,0,49,remember,that_S,active,positive,False,yes,7,True,False
55,0,50,reminisce,that_S,active,negative,False,maybe,5,True,False
55,0,51,believe,that_S,active,positive,False,maybe,6,True,False
55,0,52,clarify,that_S,active,positive,False,yes,6,True,False
55,0,53,fool,that_S,passive,positive,False,no,5,True,False
55,0,54,email,that_S,passive,positive,False,yes,7,True,False
55,0,55,apologize,that_S,active,negative,False,yes,6,True,False
55,0,56,devastate,that_S,passive,positive,False,yes,7,True,False
55,0,57,demonstrate,that_S,active,negative,False,maybe,6,True,False
55,0,58,okay,that_S,active,positive,False,yes,5,True,False
55,0,59,reassert,that_S,active,positive,False,maybe,5,True,False
55,0,60,loathe,that_S,active,negative,False,yes,5,True,False
55,0,61,scare,that_S,passive,negative,False,yes,5,True,False
55,0,62,apologize,that_S,active,positive,False,yes,6,True,False
55,0,63,generalize,that_S,active,positive,False,maybe,5,True,False
55,0,64,omit,that_S,active,positive,False,yes,6,True,False
55,0,65,affirm,that_S,active,positive,False,yes,7,True,False
55,0,66,warn,that_S,active,negative,False,yes,6,True,False
55,0,67,weep,that_S,active,positive,False,yes,5,True,False
55,0,68,bark,that_S,active,negative,False,maybe,2,True,False
120,0,1,surmise,that_S,active,positive,False,maybe,7,True,False
120,0,2,update,that_S,active,positive,False,yes,7,True,False
120,0,3,disregard,that_S,active,negative,False,yes,7,True,False
120,0,4,agree,that_S,active,positive,False,yes,7,True,False
120,0,5,surmise,that_S,active,negative,False,maybe,5,True,False
120,0,6,evaluate,that_S,active,positive,False,yes,6,True,False
120,0,7,remind,that_S,passive,negative,False,maybe,6,True,False
120,0,8,vow,that_S,active,positive,False,yes,7,True,False
120,0,9,sing,that_S,active,negative,False,maybe,5,True,False
120,0,10,sob,that_S,active,positive,False,yes,7,True,False
120,0,11,prove,that_S,active,negative,False,maybe,5,True,False
120,0,12,rediscover,that_S,active,positive,False,yes,7,True,False
120,0,13,ascertain,that_S,active,positive,False,maybe,7,True,False
120,0,14,communicate,that_S,active,positive,False,yes,7,True,False
120,0,15,depress,that_S,passive,positive,False,yes,7,True,False
120,0,16,radio,that_S,passive,negative,False,yes,6,True,False
120,0,17,volunteer,that_S,active,positive,False,maybe,6,True,False
120,0,18,deny,that_S,active,positive,False,maybe,7,True,False
120,0,19,delight,that_S,passive,positive,False,yes,7,True,False
120,0,20,ensure,that_S,active,negative,False,no,5,True,False
120,0,21,jar,that_S,passive,negative,False,maybe,4,True,False
120,0,22,find_out,that_S,active,negative,False,yes,6,True,False
120,0,23,dislike,that_S,active,negative,False,yes,4,True,False
120,0,24,disapprove,that_S,active,positive,False,yes,7,True,False
120,0,25,forgive,that_S,passive,positive,False,yes,5,True,False
120,0,26,flip_out,that_S,active,positive,False,yes,7,True,False
120,0,27,flatter,that_S,passive,positive,False,yes,7,True,False
120,0,28,fake,that_S,active,positive,False,no,6,True,False
120,0,29,hearten,that_S,passive,negative,False,maybe,4,True,False
120,0,30,imagine,that_S,active,negative,False,maybe,7,True,False
120,0,31,stimulate,that_S,passive,negative,False,yes,5,True,False
120,0,32,demand,that_S,active,positive,False,maybe,7,True,False
120,0,33,growl,that_S,active,negative,False,maybe,6,True,False
120,0,34,ruminate,that_S,active,negative,False,maybe,6,True,False
120,0,35,forgive,that_S,active,positive,False,yes,6,True,False
120,0,36,dismay,that_S,passive,negative,False,yes,6,True,False
120,0,37,bet,that_S,passive,negative,False,maybe,1,True,False
120,0,38,publicize,that_S,active,negative,False,maybe,7,True,False
120,0,39,expose,that_S,active,positive,False,yes,7,True,False
120,0,40,indicate,that_S,active,positive,False,yes,7,True,False
120,0,41,ruminate,that_S,active,positive,False,maybe,6,True,False
120,0,42,forecast,that_S,active,negative,False,maybe,5,True,False
120,0,43,inform,that_S,passive,positive,False,yes,7,True,False
120,0,44,circulate,that_S,active,negative,False,yes,6,True,False
120,0,45,gall,that_S,passive,negative,False,maybe,3,True,False
120,0,46,terrify,that_S,passive,positive,False,yes,7,True,False
120,0,47,figure,that_S,active,positive,False,maybe,7,True,False
120,0,48,alarm,that_S,passive,negative,False,yes,7,True,False
120,0,49,remember,that_S,active,positive,False,yes,7,True,False
120,0,50,reminisce,that_S,active,negative,False,maybe,5,True,False
120,0,51,believe,that_S,active,positive,False,maybe,7,True,False
