"","workerid","rt","subjectGender","speakerGender","content","verb","contentNr","trigger_class","response","slide_number_in_experiment","age","language","assess","american","gender","comments","Answer.time_in_minutes"
"21",0,2134,"F","F","Jayden rented a car","prove","14","C",0.73,22,29,"English","Yes","y","m","",1.1387
"22",0,6704,"M","F","Emma studied on Saturday morning","think","3","NonProj",0.38,23,29,"English","Yes","y","m","",1.1387
"23",0,2608,"M","F","Mary is pregnant","see","1","NonProj",0.66,24,29,"English","Yes","y","m","",1.1387
"24",0,2234,NA,"M","Zack is coming to the meeting tomorrow","MC","control1","control",0.14,25,29,"English","Yes","y","m","",1.1387
"25",0,1804,"F","F","Josh learned to ride a bike yesterday","reveal","16","NonProj",0.88,26,29,"English","Yes","y","m","",1.1387
"26",0,2022,NA,"M","Todd played football in high school","MC","control3","control",0.03,27,29,"English","Yes","y","m","",1.1387
"27",1,7198,NA,"M","Todd played football in high school","MC","control3","control",0,2,34,"English","Yes","y","m","",2.64325
"28",1,5355,"M","M","Olivia sleeps until noon","admit","4","C",0.08,3,34,"English","Yes","y","m","",2.64325
"29",1,4397,"F","F","Jackson ran 10 miles","be_right","13","C",0.3,4,34,"English","Yes","y","m","",2.64325
"30",1,3039,"M","F","Zoe calculated the tip","prove","10","C",0.71,5,34,"English","Yes","y","m","",2.64325
"31",1,5242,"M","F","Josie went on vacation to France","announce","2","C",1,6,34,"English","Yes","y","m","",2.64325
"32",1,5165,NA,"F","Zack is coming to the meeting tomorrow","MC","control1","control",0.53,7,34,"English","Yes","y","m","",2.64325
"33",1,20240,NA,"F","Vanessa is good at math","MC","control4","control",0.19,8,34,"English","Yes","y","m","",2.64325
"34",1,9721,"F","F","Danny ate the last cupcake","inform","11","C",1,9,34,"English","Yes","y","m","",2.64325
"35",1,4543,"M","F","Mia drank 2 cocktails last night","be_annoyed","6","NonProj",1,10,34,"English","Yes","y","m","",2.64325
"36",1,3386,"F","F","Owen shoveled snow last winter","demonstrate","17","C",0.99,11,34,"English","Yes","y","m","",2.64325
"37",1,2599,"F","M","Tony had a drink last night","establish","15","NonProj",0.51,12,34,"English","Yes","y","m","",2.64325
"38",1,2599,"F","M","Frank got a cat","know","12","NonProj",0.98,13,34,"English","Yes","y","m","",2.64325
"39",1,2913,"F","F","Julian dances salsa","hear","18","C",1,14,34,"English","Yes","y","m","",2.64325
"40",1,2880,"M","F","Isabella ate a steak on Sunday","suggest","7","C",0.2,15,34,"English","Yes","y","m","",2.64325
"41",1,3813,"F","F","Charley speaks Spanish","say","20","C",0.54,16,34,"English","Yes","y","m","",2.64325
"42",1,3848,"M","M","Emma studied on Saturday morning","reveal","3","NonProj",1,17,34,"English","Yes","y","m","",2.64325
"43",1,3273,"F","F","Jayden rented a car","see","14","NonProj",1,18,34,"English","Yes","y","m","",2.64325
"44",1,3870,NA,"M","Hendrick&quotechars car was expensive","MC","control6","control",0.01,19,34,"English","Yes","y","m","",2.64325
"45",1,3118,"M","F","Emily bought a car yesterday","confirm","8","C",0.5,20,34,"English","Yes","y","m","",2.64325
"46",1,4083,"M","M","Mary is pregnant","pretend","1","NonProj",0.01,21,34,"English","Yes","y","m","",2.64325
"47",1,4960,"M","M","Grace visited her sister","think","9","NonProj",0.85,22,34,"English","Yes","y","m","",2.64325
"48",1,5558,"F","M","Jon walks to work","confess","19","C",0.98,23,34,"English","Yes","y","m","",2.64325
"49",1,4883,NA,"F","Mary&quotechars aunt is sick","MC","control2","control",0,24,34,"English","Yes","y","m","",2.64325
"50",1,5051,"F","M","Josh learned to ride a bike yesterday","acknowledge","16","C",0.98,25,34,"English","Yes","y","m","",2.64325
"51",1,3690,NA,"M","Madison had a baby","MC","control5","control",0,26,34,"English","Yes","y","m","",2.64325
"52",1,4535,"M","M","Sophia got a tattoo","discover","5","NonProj",1,27,34,"English","Yes","y","m","",2.64325
"53",3,7848,"F","M","Charley speaks Spanish","acknowledge","20","C",0.03,2,47,"english","Yes","y","f","I think this is a very fair amount paid, I enjoyed this hit!",3.6533
"54",3,6792,"M","F","Sophia got a tattoo","prove","5","C",0.02,3,47,"english","Yes","y","f","I think this is a very fair amount paid, I enjoyed this hit!",3.6533
"55",3,5856,NA,"M","Madison had a baby","MC","control5","control",0.02,4,47,"english","Yes","y","f","I think this is a very fair amount paid, I enjoyed this hit!",3.6533
"56",3,7834,"M","M","Isabella ate a steak on Sunday","know","7","NonProj",0.98,5,47,"english","Yes","y","f","I think this is a very fair amount paid, I enjoyed this hit!",3.6533
"57",3,6120,"M","F","Olivia sleeps until noon","reveal","4","NonProj",0.98,6,47,"english","Yes","y","f","I think this is a very fair amount paid, I enjoyed this hit!",3.6533
"58",3,6680,"F","M","Jon walks to work","say","19","C",0.03,7,47,"english","Yes","y","f","I think this is a very fair amount paid, I enjoyed this hit!",3.6533
"59",3,6344,"F","M","Jayden rented a car","hear","14","C",0.98,8,47,"english","Yes","y","f","I think this is a very fair amount paid, I enjoyed this hit!",3.6533
"60",3,6726,NA,"M","Zack is coming to the meeting tomorrow","MC","control1","control",0.02,9,47,"english","Yes","y","f","I think this is a very fair amount paid, I enjoyed this hit!",3.6533
"61",3,5256,"F","M","Frank got a cat","demonstrate","12","C",0.98,10,47,"english","Yes","y","f","I think this is a very fair amount paid, I enjoyed this hit!",3.6533
"62",3,4632,"M","F","Josie went on vacation to France","see","2","NonProj",0.98,11,47,"english","Yes","y","f","I think this is a very fair amount paid, I enjoyed this hit!",3.6533
"63",3,5644,"M","F","Mia drank 2 cocktails last night","announce","6","C",0.98,12,47,"english","Yes","y","f","I think this is a very fair amount paid, I enjoyed this hit!",3.6533
"64",3,4970,"F","F","Josh learned to ride a bike yesterday","admit","16","C",0.99,13,47,"english","Yes","y","f","I think this is a very fair amount paid, I enjoyed this hit!",3.6533
"65",3,5866,"F","F","Danny ate the last cupcake","suggest","11","C",0.02,14,47,"english","Yes","y","f","I think this is a very fair amount paid, I enjoyed this hit!",3.6533
"66",3,4194,"M","M","Emma studied on Saturday morning","establish","3","NonProj",0.01,15,47,"english","Yes","y","f","I think this is a very fair amount paid, I enjoyed this hit!",3.6533
"67",3,5230,"F","F","Owen shoveled snow last winter","think","17","NonProj",0.02,16,47,"english","Yes","y","f","I think this is a very fair amount paid, I enjoyed this hit!",3.6533
"68",3,3128,NA,"M","Mary&quotechars aunt is sick","MC","control2","control",0.02,17,47,"english","Yes","y","f","I think this is a very fair amount paid, I enjoyed this hit!",3.6533
"69",3,5640,"M","F","Grace visited her sister","be_right","9","C",0.02,18,47,"english","Yes","y","f","I think this is a very fair amount paid, I enjoyed this hit!",3.6533
"70",3,3646,NA,"F","Todd played football in high school","MC","control3","control",0.03,19,47,"english","Yes","y","f","I think this is a very fair amount paid, I enjoyed this hit!",3.6533
"71",3,7320,"F","M","Tony had a drink last night","confess","15","C",0.98,20,47,"english","Yes","y","f","I think this is a very fair amount paid, I enjoyed this hit!",3.6533
"72",3,9790,NA,"F","Vanessa is good at math","MC","control4","control",0.02,21,47,"english","Yes","y","f","I think this is a very fair amount paid, I enjoyed this hit!",3.6533
"73",3,2782,NA,"M","Hendrick&quotechars car was expensive","MC","control6","control",0.02,22,47,"english","Yes","y","f","I think this is a very fair amount paid, I enjoyed this hit!",3.6533
"74",3,6744,"M","M","Emily bought a car yesterday","confirm","8","C",0.53,23,47,"english","Yes","y","f","I think this is a very fair amount paid, I enjoyed this hit!",3.6533
"75",3,5550,"F","F","Julian dances salsa","inform","18","C",0.02,24,47,"english","Yes","y","f","I think this is a very fair amount paid, I enjoyed this hit!",3.6533
"76",3,5858,"M","F","Mary is pregnant","pretend","1","NonProj",0.02,25,47,"english","Yes","y","f","I think this is a very fair amount paid, I enjoyed this hit!",3.6533
"77",3,9296,"M","M","Zoe calculated the tip","discover","10","NonProj",0.01,26,47,"english","Yes","y","f","I think this is a very fair amount paid, I enjoyed this hit!",3.6533
"78",3,3440,"F","F","Jackson ran 10 miles","be_annoyed","13","NonProj",0.98,27,47,"english","Yes","y","f","I think this is a very fair amount paid, I enjoyed this hit!",3.6533
"79",4,4549,"F","M","Charley speaks Spanish","confirm","20","C",0.15,2,22,"English","Yes","y","f","",3.17845
"80",4,3952,"F","M","Tony had a drink last night","announce","15","C",0,3,22,"English","Yes","y","f","",3.17845
"81",4,4342,"F","M","Josh learned to ride a bike yesterday","inform","16","C",0.53,4,22,"English","Yes","y","f","",3.17845
"82",4,4962,"F","M","Frank got a cat","admit","12","C",0.19,5,22,"English","Yes","y","f","",3.17845
"83",4,700,"M","F","Sophia got a tattoo","establish","5","NonProj",0.4,6,22,"English","Yes","y","f","",3.17845
"84",4,771,"M","M","Olivia sleeps until noon","acknowledge","4","C",0.75,7,22,"English","Yes","y","f","",3.17845
"85",4,759,"M","F","Isabella ate a steak on Sunday","think","7","NonProj",0.34,8,22,"English","Yes","y","f","",3.17845
"86",4,648,"F","F","Jackson ran 10 miles","know","13","NonProj",0.63,9,22,"English","Yes","y","f","",3.17845
"87",4,701,"M","F","Mia drank 2 cocktails last night","suggest","6","C",0.18,10,22,"English","Yes","y","f","",3.17845
"88",4,623,"F","F","Owen shoveled snow last winter","be_annoyed","17","NonProj",0.72,11,22,"English","Yes","y","f","",3.17845
"89",4,586,NA,"F","Hendrick&quotechars car was expensive","MC","control6","control",0.43,12,22,"English","Yes","y","f","",3.17845
"90",4,647,NA,"F","Madison had a baby","MC","control5","control",0.72,13,22,"English","Yes","y","f","",3.17845
"91",4,740,"F","M","Jon walks to work","prove","19","C",0.27,14,22,"English","Yes","y","f","",3.17845
"92",4,695,"M","F","Zoe calculated the tip","hear","10","C",0.54,15,22,"English","Yes","y","f","",3.17845
"93",4,2246,NA,"M","Todd played football in high school","MC","control3","control",0.06,16,22,"English","Yes","y","f","",3.17845
"94",4,4294,"F","F","Julian dances salsa","pretend","18","NonProj",0.35,17,22,"English","Yes","y","f","",3.17845
"95",4,1971,"M","F","Grace visited her sister","see","9","NonProj",0.68,18,22,"English","Yes","y","f","",3.17845
"96",4,797,"F","M","Danny ate the last cupcake","reveal","11","NonProj",0.41,19,22,"English","Yes","y","f","",3.17845
"97",4,2057,NA,"F","Mary&quotechars aunt is sick","MC","control2","control",0.04,20,22,"English","Yes","y","f","",3.17845
"98",4,2543,"M","F","Josie went on vacation to France","say","2","C",0.16,21,22,"English","Yes","y","f","",3.17845
"99",4,1971,"M","F","Emily bought a car yesterday","be_right","8","C",0.53,22,22,"English","Yes","y","f","",3.17845
"100",4,2032,NA,"M","Zack is coming to the meeting tomorrow","MC","control1","control",0.05,23,22,"English","Yes","y","f","",3.17845
"101",4,4423,"M","F","Emma studied on Saturday morning","demonstrate","3","C",0.28,24,22,"English","Yes","y","f","",3.17845
"102",4,1647,NA,"F","Vanessa is good at math","MC","control4","control",0.04,25,22,"English","Yes","y","f","",3.17845
"103",4,2859,"F","F","Jayden rented a car","confess","14","C",0.32,26,22,"English","Yes","y","f","",3.17845
"104",4,903,"M","F","Mary is pregnant","discover","1","NonProj",0.68,27,22,"English","Yes","y","f","",3.17845
"105",5,7981,"M","M","Emma studied on Saturday morning","suggest","3","C",0.2,2,34,"English","Yes","y","f","",2.9167
"106",5,4124,"F","M","Tony had a drink last night","establish","15","NonProj",0.73,3,34,"English","Yes","y","f","",2.9167
"107",5,4395,"F","F","Julian dances salsa","announce","18","C",0.57,4,34,"English","Yes","y","f","",2.9167
"108",5,4296,"M","F","Isabella ate a steak on Sunday","think","7","NonProj",0.14,5,34,"English","Yes","y","f","",2.9167
"109",5,3891,"M","F","Olivia sleeps until noon","see","4","NonProj",0.89,6,34,"English","Yes","y","f","",2.9167
"110",5,8473,NA,"F","Madison had a baby","MC","control5","control",0.18,7,34,"English","Yes","y","f","",2.9167
"111",5,4128,"M","M","Mia drank 2 cocktails last night","be_right","6","C",0.1,8,34,"English","Yes","y","f","",2.9167
"112",5,4384,"F","F","Jayden rented a car","say","14","C",0.16,9,34,"English","Yes","y","f","",2.9167
"113",5,4267,NA,"M","Todd played football in high school","MC","control3","control",0.14,10,34,"English","Yes","y","f","",2.9167
"114",5,8026,"F","F","Josh learned to ride a bike yesterday","confess","16","C",0.18,11,34,"English","Yes","y","f","",2.9167
"115",5,4508,NA,"F","Hendrick&quotechars car was expensive","MC","control6","control",0.15,12,34,"English","Yes","y","f","",2.9167
"116",5,4296,"F","M","Owen shoveled snow last winter","inform","17","C",0.79,13,34,"English","Yes","y","f","",2.9167
"117",5,5647,NA,"F","Mary&quotechars aunt is sick","MC","control2","control",0.11,14,34,"English","Yes","y","f","",2.9167
"118",5,4494,"F","M","Frank got a cat","discover","12","NonProj",0.85,15,34,"English","Yes","y","f","",2.9167
"119",5,8107,"F","M","Jon walks to work","demonstrate","19","C",0.56,16,34,"English","Yes","y","f","",2.9167
"120",5,7832,"F","F","Danny ate the last cupcake","admit","11","C",0.88,17,34,"English","Yes","y","f","",2.9167
"121",5,3752,"M","F","Grace visited her sister","confirm","9","C",0.85,18,34,"English","Yes","y","f","",2.9167
"122",5,3305,"M","M","Josie went on vacation to France","reveal","2","NonProj",0.91,19,34,"English","Yes","y","f","",2.9167
"123",5,6777,"M","F","Mary is pregnant","pretend","1","NonProj",0.15,20,34,"English","Yes","y","f","",2.9167
"124",5,4574,"F","M","Jackson ran 10 miles","know","13","NonProj",0.89,21,34,"English","Yes","y","f","",2.9167
"125",5,7117,"F","F","Charley speaks Spanish","be_annoyed","20","NonProj",0.91,22,34,"English","Yes","y","f","",2.9167
"126",5,3463,"M","F","Zoe calculated the tip","acknowledge","10","C",0.92,23,34,"English","Yes","y","f","",2.9167
"127",5,2939,NA,"M","Vanessa is good at math","MC","control4","control",0.11,24,34,"English","Yes","y","f","",2.9167
"128",5,7819,"M","F","Sophia got a tattoo","prove","5","C",0.65,25,34,"English","Yes","y","f","",2.9167
"129",5,14538,NA,"F","Zack is coming to the meeting tomorrow","MC","control1","control",0.14,26,34,"English","Yes","y","f","",2.9167
"130",5,5317,"M","M","Emily bought a car yesterday","hear","8","C",0.85,27,34,"English","Yes","y","f","",2.9167
"131",7,9998,"F","F","Josh learned to ride a bike yesterday","be_annoyed","16","NonProj",0.99,2,38,"english","Yes","y","m","thx",4.436616667
"132",7,8634,"F","F","Danny ate the last cupcake","establish","11","NonProj",0.99,3,38,"english","Yes","y","m","thx",4.436616667
"133",7,8477,"M","F","Sophia got a tattoo","acknowledge","5","C",0.99,4,38,"english","Yes","y","m","thx",4.436616667
"134",7,8045,"M","F","Emma studied on Saturday morning","hear","3","C",0.99,5,38,"english","Yes","y","m","thx",4.436616667
"135",7,11028,"F","F","Julian dances salsa","announce","18","C",0.48,6,38,"english","Yes","y","m","thx",4.436616667
"136",7,7990,"M","F","Grace visited her sister","be_right","9","C",0.02,7,38,"english","Yes","y","m","thx",4.436616667
"137",7,5680,NA,"M","Madison had a baby","MC","control5","control",0,8,38,"english","Yes","y","m","thx",4.436616667
"138",7,10075,"F","M","Owen shoveled snow last winter","demonstrate","17","C",0.5,9,38,"english","Yes","y","m","thx",4.436616667
"139",7,10552,"M","M","Mia drank 2 cocktails last night","suggest","6","C",0.02,10,38,"english","Yes","y","m","thx",4.436616667
"140",7,7665,"F","M","Frank got a cat","know","12","NonProj",0.97,11,38,"english","Yes","y","m","thx",4.436616667
"141",7,9811,"M","M","Emily bought a car yesterday","prove","8","C",0.01,12,38,"english","Yes","y","m","thx",4.436616667
"142",7,5998,NA,"M","Vanessa is good at math","MC","control4","control",0,13,38,"english","Yes","y","m","thx",4.436616667
"143",7,8833,"F","F","Jackson ran 10 miles","pretend","13","NonProj",0,14,38,"english","Yes","y","m","thx",4.436616667
"144",7,14036,"M","M","Olivia sleeps until noon","confess","4","C",0.84,15,38,"english","Yes","y","m","thx",4.436616667
"145",7,8918,"F","M","Jon walks to work","confirm","19","C",0.13,16,38,"english","Yes","y","m","thx",4.436616667
"146",7,11162,"M","F","Josie went on vacation to France","admit","2","C",0.43,17,38,"english","Yes","y","m","thx",4.436616667
"147",7,6239,NA,"F","Mary&quotechars aunt is sick","MC","control2","control",0,18,38,"english","Yes","y","m","thx",4.436616667
"148",7,9057,"M","F","Isabella ate a steak on Sunday","reveal","7","NonProj",0.92,19,38,"english","Yes","y","m","thx",4.436616667
"149",7,5735,NA,"M","Hendrick&quotechars car was expensive","MC","control6","control",0,20,38,"english","Yes","y","m","thx",4.436616667
"150",7,6560,"F","M","Jayden rented a car","discover","14","NonProj",1,21,38,"english","Yes","y","m","thx",4.436616667
"151",7,7311,"F","F","Tony had a drink last night","think","15","NonProj",0,22,38,"english","Yes","y","m","thx",4.436616667
"152",7,8200,"F","F","Charley speaks Spanish","see","20","NonProj",0.89,23,38,"english","Yes","y","m","thx",4.436616667
"153",7,9343,"M","M","Mary is pregnant","inform","1","C",0.97,24,38,"english","Yes","y","m","thx",4.436616667
"154",7,5761,NA,"F","Todd played football in high school","MC","control3","control",0,25,38,"english","Yes","y","m","thx",4.436616667
"155",7,8399,"M","F","Zoe calculated the tip","say","10","C",0.02,26,38,"english","Yes","y","m","thx",4.436616667
"156",7,7093,NA,"M","Zack is coming to the meeting tomorrow","MC","control1","control",0,27,38,"english","Yes","y","m","thx",4.436616667
"157",8,7291,"M","F","Mary is pregnant","see","1","NonProj",1,2,23,"English","No","y","m","",2.6061
"158",8,5762,"M","M","Mia drank 2 cocktails last night","inform","6","C",0.68,3,23,"English","No","y","m","",2.6061
"159",8,4513,NA,"M","Todd played football in high school","MC","control3","control",0,4,23,"English","No","y","m","",2.6061
"160",8,4602,"M","F","Olivia sleeps until noon","admit","4","C",1,5,23,"English","No","y","m","",2.6061
"161",8,6542,"M","F","Josie went on vacation to France","know","2","NonProj",1,6,23,"English","No","y","m","",2.6061
"162",8,5346,"M","F","Emma studied on Saturday morning","reveal","3","NonProj",1,7,23,"English","No","y","m","",2.6061
"163",8,2729,NA,"F","Mary&quotechars aunt is sick","MC","control2","control",0,8,23,"English","No","y","m","",2.6061
"164",8,5912,"F","M","Danny ate the last cupcake","think","11","NonProj",0.24,9,23,"English","No","y","m","",2.6061
"165",8,5098,"F","F","Charley speaks Spanish","pretend","20","NonProj",0,10,23,"English","No","y","m","",2.6061
"166",8,6298,"M","F","Grace visited her sister","confess","9","C",1,11,23,"English","No","y","m","",2.6061
"167",8,4792,"F","F","Tony had a drink last night","announce","15","C",0.68,12,23,"English","No","y","m","",2.6061
"168",8,4852,"M","M","Zoe calculated the tip","confirm","10","C",0.5,13,23,"English","No","y","m","",2.6061
"169",8,4620,"F","M","Jayden rented a car","suggest","14","C",0,14,23,"English","No","y","m","",2.6061
"170",8,8977,"F","F","Julian dances salsa","say","18","C",0.48,15,23,"English","No","y","m","",2.6061
"171",8,4145,"F","F","Frank got a cat","discover","12","NonProj",0.69,16,23,"English","No","y","m","",2.6061
"172",8,3932,NA,"F","Zack is coming to the meeting tomorrow","MC","control1","control",0,17,23,"English","No","y","m","",2.6061
"173",8,11233,"F","F","Owen shoveled snow last winter","demonstrate","17","C",0.8,18,23,"English","No","y","m","",2.6061
"174",8,3389,"M","M","Isabella ate a steak on Sunday","establish","7","NonProj",0.52,19,23,"English","No","y","m","",2.6061
"175",8,3814,"M","M","Emily bought a car yesterday","acknowledge","8","C",0.84,20,23,"English","No","y","m","",2.6061
"176",8,3628,"F","F","Jon walks to work","be_annoyed","19","NonProj",1,21,23,"English","No","y","m","",2.6061
"177",8,3921,"F","M","Jackson ran 10 miles","hear","13","C",0.67,22,23,"English","No","y","m","",2.6061
"178",8,2290,NA,"M","Madison had a baby","MC","control5","control",0,23,23,"English","No","y","m","",2.6061
"179",8,1978,NA,"F","Hendrick&quotechars car was expensive","MC","control6","control",0,24,23,"English","No","y","m","",2.6061
"180",8,2471,"M","M","Sophia got a tattoo","be_right","5","C",0,25,23,"English","No","y","m","",2.6061
"181",8,2024,NA,"M","Vanessa is good at math","MC","control4","control",0,26,23,"English","No","y","m","",2.6061
"182",8,3589,"F","M","Josh learned to ride a bike yesterday","prove","16","C",0.16,27,23,"English","No","y","m","",2.6061
"183",9,6908,"F","F","Tony had a drink last night","know","15","NonProj",0.84,2,50,"English","Yes","y","m","",2.241783333
"184",9,3898,"F","F","Jackson ran 10 miles","think","13","NonProj",0.51,3,50,"English","Yes","y","m","",2.241783333
"185",9,3747,"M","F","Emily bought a car yesterday","announce","8","C",0.87,4,50,"English","Yes","y","m","",2.241783333
"186",9,3536,"F","M","Josh learned to ride a bike yesterday","establish","16","NonProj",0.44,5,50,"English","Yes","y","m","",2.241783333
"187",9,5089,NA,"F","Hendrick&quotechars car was expensive","MC","control6","control",0.33,6,50,"English","Yes","y","m","",2.241783333
"188",9,4813,"M","M","Grace visited her sister","suggest","9","C",0.31,7,50,"English","Yes","y","m","",2.241783333
"189",9,3497,"F","M","Jon walks to work","be_annoyed","19","NonProj",0.89,8,50,"English","Yes","y","m","",2.241783333
"190",9,5129,NA,"F","Madison had a baby","MC","control5","control",0.53,9,50,"English","Yes","y","m","",2.241783333
"191",9,4189,"M","F","Josie went on vacation to France","say","2","C",0.51,10,50,"English","Yes","y","m","",2.241783333
"192",9,4561,"M","F","Mary is pregnant","demonstrate","1","C",0.55,11,50,"English","Yes","y","m","",2.241783333
"193",9,2738,NA,"F","Mary&quotechars aunt is sick","MC","control2","control",0.36,12,50,"English","Yes","y","m","",2.241783333
"194",9,5378,"M","M","Emma studied on Saturday morning","pretend","3","NonProj",0.16,13,50,"English","Yes","y","m","",2.241783333
"195",9,4864,"F","F","Charley speaks Spanish","confess","20","C",0.92,14,50,"English","Yes","y","m","",2.241783333
"196",9,3651,"M","F","Mia drank 2 cocktails last night","acknowledge","6","C",0.87,15,50,"English","Yes","y","m","",2.241783333
"197",9,2837,"M","F","Olivia sleeps until noon","reveal","4","NonProj",0.89,16,50,"English","Yes","y","m","",2.241783333
"198",9,2438,NA,"F","Todd played football in high school","MC","control3","control",0.2,17,50,"English","Yes","y","m","",2.241783333
"199",9,3519,"M","F","Sophia got a tattoo","prove","5","C",0.22,18,50,"English","Yes","y","m","",2.241783333
"200",9,3189,"M","F","Isabella ate a steak on Sunday","hear","7","C",0.91,19,50,"English","Yes","y","m","",2.241783333
"201",9,3506,"F","F","Frank got a cat","admit","12","C",0.88,20,50,"English","Yes","y","m","",2.241783333
"202",9,4032,"F","M","Julian dances salsa","be_right","18","C",0.16,21,50,"English","Yes","y","m","",2.241783333
"203",9,6015,"F","M","Owen shoveled snow last winter","see","17","NonProj",0.48,22,50,"English","Yes","y","m","",2.241783333
"204",9,4092,"F","F","Jayden rented a car","inform","14","C",0.91,23,50,"English","Yes","y","m","",2.241783333
"205",9,4919,"M","F","Zoe calculated the tip","discover","10","NonProj",0.89,24,50,"English","Yes","y","m","",2.241783333
"206",9,2165,NA,"M","Vanessa is good at math","MC","control4","control",0.16,25,50,"English","Yes","y","m","",2.241783333
"207",9,3380,"F","M","Danny ate the last cupcake","confirm","11","C",0.23,26,50,"English","Yes","y","m","",2.241783333
"208",9,2282,NA,"M","Zack is coming to the meeting tomorrow","MC","control1","control",0.11,27,50,"English","Yes","y","m","",2.241783333
"209",10,17546,"M","F","Grace visited her sister","be_annoyed","9","NonProj",0.93,2,30,"english","Yes","y","m","thanks",4.187016667
"210",10,11299,"M","M","Emily bought a car yesterday","reveal","8","NonProj",0,3,30,"english","Yes","y","m","thanks",4.187016667
"211",10,12513,"M","F","Mary is pregnant","inform","1","C",0.89,4,30,"english","Yes","y","m","thanks",4.187016667
"212",10,7388,"M","F","Zoe calculated the tip","be_right","10","C",0.04,5,30,"english","Yes","y","m","thanks",4.187016667
"213",10,7781,"F","F","Jackson ran 10 miles","confirm","13","C",0.04,6,30,"english","Yes","y","m","thanks",4.187016667
"214",10,7239,NA,"F","Mary&quotechars aunt is sick","MC","control2","control",0,7,30,"english","Yes","y","m","thanks",4.187016667
"215",10,14503,"F","M","Tony had a drink last night","suggest","15","C",0.06,8,30,"english","Yes","y","m","thanks",4.187016667
"216",10,8881,"F","F","Frank got a cat","establish","12","NonProj",0.08,9,30,"english","Yes","y","m","thanks",4.187016667
"217",10,6959,"M","F","Emma studied on Saturday morning","acknowledge","3","C",0.9,10,30,"english","Yes","y","m","thanks",4.187016667
"218",10,6068,NA,"F","Hendrick&quotechars car was expensive","MC","control6","control",0,11,30,"english","Yes","y","m","thanks",4.187016667
"219",10,7018,NA,"F","Todd played football in high school","MC","control3","control",0,12,30,"english","Yes","y","m","thanks",4.187016667
"220",10,5673,"F","F","Jon walks to work","know","19","NonProj",0.92,13,30,"english","Yes","y","m","thanks",4.187016667
"221",10,7841,"F","F","Charley speaks Spanish","admit","20","C",0.74,14,30,"english","Yes","y","m","thanks",4.187016667
"222",10,6986,"F","M","Jayden rented a car","think","14","NonProj",0.03,15,30,"english","Yes","y","m","thanks",4.187016667
"223",10,7558,"M","M","Olivia sleeps until noon","hear","4","C",0.94,16,30,"english","Yes","y","m","thanks",4.187016667
"224",10,4003,NA,"M","Zack is coming to the meeting tomorrow","MC","control1","control",0,17,30,"english","Yes","y","m","thanks",4.187016667
"225",10,9349,"M","F","Isabella ate a steak on Sunday","demonstrate","7","C",0.07,18,30,"english","Yes","y","m","thanks",4.187016667
"226",10,6391,"F","M","Danny ate the last cupcake","confess","11","C",0.91,19,30,"english","Yes","y","m","thanks",4.187016667
