"","workerid","rt","subjectGender","speakerGender","content","verb","fact","fact_type","contentNr","trigger_class","response","slide_number_in_experiment","age","language","assess","american","gender","comments","Answer.time_in_minutes","assignmentid"
"30",1,5926,NA,"M","Hendrick&quotechars car was expensive","control","Hendrick just bought a car",NA,"control6","control",0.4,5,24,"english","Yes","m","m","",2.62438333333333,"3JV9LGBJWTFC5EO34ILN3H9FXL4OGN"
"31",1,10421,"M","F","Emily bought a car yesterday","suggest","Emily never has any money","factL","8","C",0.21,6,24,"english","Yes","m","m","",2.62438333333333,"3JV9LGBJWTFC5EO34ILN3H9FXL4OGN"
"32",1,4190,"M","M","Isabella ate a steak on Sunday","reveal","Isabella is from Argentina","factH","7","NonProj",0.25,7,24,"english","Yes","m","m","",2.62438333333333,"3JV9LGBJWTFC5EO34ILN3H9FXL4OGN"
"33",1,7062,"M","F","Josie went on vacation to France","confess","Josie loves France","factH","2","C",0.67,8,24,"english","Yes","m","m","",2.62438333333333,"3JV9LGBJWTFC5EO34ILN3H9FXL4OGN"
"34",1,3497,"F","M","Julian dances salsa","prove","Julian is Cuban","factH","18","C",0.37,9,24,"english","Yes","m","m","",2.62438333333333,"3JV9LGBJWTFC5EO34ILN3H9FXL4OGN"
"35",1,4002,"F","M","Jackson ran 10 miles","pretend","Jackson is obese","factL","13","NonProj",0.05,10,24,"english","Yes","m","m","",2.62438333333333,"3JV9LGBJWTFC5EO34ILN3H9FXL4OGN"
"36",1,3821,"F","F","Charley speaks Spanish","confirm","Charley lives in Korea","factL","20","C",0.21,11,24,"english","Yes","m","m","",2.62438333333333,"3JV9LGBJWTFC5EO34ILN3H9FXL4OGN"
"37",1,5544,"M","F","Mary is pregnant","demonstrate","Mary is taking a prenatal yoga class","factH","1","C",0.98,12,24,"english","Yes","m","m","",2.62438333333333,"3JV9LGBJWTFC5EO34ILN3H9FXL4OGN"
"38",1,3832,"M","F","Zoe calculated the tip","admit","Zoe is a math major","factH","10","C",0.75,13,24,"english","Yes","m","m","",2.62438333333333,"3JV9LGBJWTFC5EO34ILN3H9FXL4OGN"
"39",1,5753,"M","F","Olivia sleeps until noon","inform_Sam","Olivia has two small children","factL","4","C",0.46,14,24,"english","Yes","m","m","",2.62438333333333,"3JV9LGBJWTFC5EO34ILN3H9FXL4OGN"
"40",1,3243,NA,"M","Mary&quotechars aunt is sick","control","Mary visited her aunt on Sunday",NA,"control2","control",0.42,15,24,"english","Yes","m","m","",2.62438333333333,"3JV9LGBJWTFC5EO34ILN3H9FXL4OGN"
"41",1,3867,"M","F","Sophia got a tattoo","be_right_that","Sophia is a hipster","factH","5","C",0.58,16,24,"english","Yes","m","m","",2.62438333333333,"3JV9LGBJWTFC5EO34ILN3H9FXL4OGN"
"42",1,5547,NA,"F","Madison had a baby","control","Trish sent Madison a card",NA,"control5","control",0.65,17,24,"english","Yes","m","m","",2.62438333333333,"3JV9LGBJWTFC5EO34ILN3H9FXL4OGN"
"43",1,3988,"M","F","Grace visited her sister","see","Grace hates her sister","factL","9","NonProj",0.25,18,24,"english","Yes","m","m","",2.62438333333333,"3JV9LGBJWTFC5EO34ILN3H9FXL4OGN"
"44",1,5731,"F","M","Josh learned to ride a bike yesterday","hear","Josh is a 5-year old boy","factH","16","C",0.52,19,24,"english","Yes","m","m","",2.62438333333333,"3JV9LGBJWTFC5EO34ILN3H9FXL4OGN"
"45",1,5219,"F","M","Frank got a cat","say","Frank is allergic to cats","factL","12","C",0,20,24,"english","Yes","m","m","",2.62438333333333,"3JV9LGBJWTFC5EO34ILN3H9FXL4OGN"
"46",1,4083,"F","M","Tony had a drink last night","discover","Tony has been sober for 20 years","factL","15","NonProj",0.33,21,24,"english","Yes","m","m","",2.62438333333333,"3JV9LGBJWTFC5EO34ILN3H9FXL4OGN"
"47",1,5055,"F","F","Danny ate the last cupcake","annoyed","Danny loves cake","factH","11","NonProj",0.56,22,24,"english","Yes","m","m","",2.62438333333333,"3JV9LGBJWTFC5EO34ILN3H9FXL4OGN"
"48",1,4142,"F","M","Jon walks to work","acknowledge","Jon lives 10 miles away from work","factL","19","C",0.22,23,24,"english","Yes","m","m","",2.62438333333333,"3JV9LGBJWTFC5EO34ILN3H9FXL4OGN"
"49",1,2615,NA,"F","Vanessa is good at math","control","Vanessa won a prize at school",NA,"control4","control",0.35,24,24,"english","Yes","m","m","",2.62438333333333,"3JV9LGBJWTFC5EO34ILN3H9FXL4OGN"
"50",1,2617,"M","F","Mia drank 2 cocktails last night","establish","Mia is a nun","factL","6","NonProj",0.29,25,24,"english","Yes","m","m","",2.62438333333333,"3JV9LGBJWTFC5EO34ILN3H9FXL4OGN"
"51",1,4577,"M","F","Emma studied on Saturday morning","think","Emma is in first grade","factL","3","NonProj",0.49,26,24,"english","Yes","m","m","",2.62438333333333,"3JV9LGBJWTFC5EO34ILN3H9FXL4OGN"
"52",1,3671,NA,"M","Zack is coming to the meeting tomorrow","control","Zack is a member of the golf club",NA,"control1","control",0.45,27,24,"english","Yes","m","m","",2.62438333333333,"3JV9LGBJWTFC5EO34ILN3H9FXL4OGN"
"53",2,3400,"F","M","Charley speaks Spanish","see","Charley lives in Mexico","factH","20","NonProj",0.02,2,62,"English","Yes","m","m","",2.74925,"379J5II41OH6FFPFLVF7BXK9P0KELF"
"54",2,18207,"F","F","Josh learned to ride a bike yesterday","annoyed","Josh is a 75-year old man","factL","16","NonProj",0.21,3,62,"English","Yes","m","m","",2.74925,"379J5II41OH6FFPFLVF7BXK9P0KELF"
"55",2,8575,"M","M","Sophia got a tattoo","know","Sophia is a hipster","factH","5","NonProj",0.04,4,62,"English","Yes","m","m","",2.74925,"379J5II41OH6FFPFLVF7BXK9P0KELF"
"56",2,4304,NA,"M","Madison had a baby","control","Trish sent Madison a card",NA,"control5","control",0.02,5,62,"English","Yes","m","m","",2.74925,"379J5II41OH6FFPFLVF7BXK9P0KELF"
"57",2,4920,"F","F","Julian dances salsa","prove","Julian is German","factL","18","C",0.03,6,62,"English","Yes","m","m","",2.74925,"379J5II41OH6FFPFLVF7BXK9P0KELF"
"58",2,5079,"F","F","Owen shoveled snow last winter","confirm","Owen lives in New Orleans","factL","17","C",0.02,7,62,"English","Yes","m","m","",2.74925,"379J5II41OH6FFPFLVF7BXK9P0KELF"
"59",2,5528,NA,"F","Hendrick&quotechars car was expensive","control","Hendrick just bought a car",NA,"control6","control",0.46,8,62,"English","Yes","m","m","",2.74925,"379J5II41OH6FFPFLVF7BXK9P0KELF"
"60",2,4063,"F","F","Danny ate the last cupcake","pretend","Danny loves cake","factH","11","NonProj",0.03,9,62,"English","Yes","m","m","",2.74925,"379J5II41OH6FFPFLVF7BXK9P0KELF"
"61",2,6018,"M","M","Emma studied on Saturday morning","inform_Sam","Emma is in law school","factH","3","C",0.99,10,62,"English","Yes","m","m","",2.74925,"379J5II41OH6FFPFLVF7BXK9P0KELF"
"62",2,8043,"M","M","Grace visited her sister","reveal","Grace hates her sister","factL","9","NonProj",0.5,11,62,"English","Yes","m","m","",2.74925,"379J5II41OH6FFPFLVF7BXK9P0KELF"
"63",2,5612,"M","M","Zoe calculated the tip","hear","Zoe is a math major","factH","10","C",0.23,12,62,"English","Yes","m","m","",2.74925,"379J5II41OH6FFPFLVF7BXK9P0KELF"
"64",2,4479,"M","M","Mary is pregnant","say","Mary is taking a prenatal yoga class","factH","1","C",1,13,62,"English","Yes","m","m","",2.74925,"379J5II41OH6FFPFLVF7BXK9P0KELF"
"65",2,3601,"F","F","Jon walks to work","think","Jon lives 10 miles away from work","factL","19","NonProj",0.02,14,62,"English","Yes","m","m","",2.74925,"379J5II41OH6FFPFLVF7BXK9P0KELF"
"66",2,3784,NA,"M","Todd played football in high school","control","Todd goes to the gym 3 times a week",NA,"control3","control",0.01,15,62,"English","Yes","m","m","",2.74925,"379J5II41OH6FFPFLVF7BXK9P0KELF"
"67",2,6311,"M","F","Josie went on vacation to France","acknowledge","Josie loves France","factH","2","C",0.98,16,62,"English","Yes","m","m","",2.74925,"379J5II41OH6FFPFLVF7BXK9P0KELF"
"68",2,3702,"M","M","Mia drank 2 cocktails last night","establish","Mia is a nun","factL","6","NonProj",0.02,17,62,"English","Yes","m","m","",2.74925,"379J5II41OH6FFPFLVF7BXK9P0KELF"
"69",2,4264,"M","M","Isabella ate a steak on Sunday","discover","Isabella is a vegetarian","factL","7","NonProj",0.02,18,62,"English","Yes","m","m","",2.74925,"379J5II41OH6FFPFLVF7BXK9P0KELF"
"70",2,3431,NA,"F","Vanessa is good at math","control","Vanessa won a prize at school",NA,"control4","control",0.53,19,62,"English","Yes","m","m","",2.74925,"379J5II41OH6FFPFLVF7BXK9P0KELF"
"71",2,5368,"F","F","Tony had a drink last night","announce","Tony really likes to party with his friends","factH","15","C",0.86,20,62,"English","Yes","m","m","",2.74925,"379J5II41OH6FFPFLVF7BXK9P0KELF"
"72",2,3279,NA,"F","Mary&quotechars aunt is sick","control","Mary visited her aunt on Sunday",NA,"control2","control",0.01,21,62,"English","Yes","m","m","",2.74925,"379J5II41OH6FFPFLVF7BXK9P0KELF"
"73",2,3897,"F","F","Jayden rented a car","suggest","Jayden doesn&quotechart have a driver&quotechars license","factL","14","C",0,22,62,"English","Yes","m","m","",2.74925,"379J5II41OH6FFPFLVF7BXK9P0KELF"
"74",2,3640,"M","F","Olivia sleeps until noon","confess","Olivia has two small children","factL","4","C",0.01,23,62,"English","Yes","m","m","",2.74925,"379J5II41OH6FFPFLVF7BXK9P0KELF"
"75",2,5655,"M","F","Emily bought a car yesterday","demonstrate","Emily has been saving for a year","factH","8","C",0.23,24,62,"English","Yes","m","m","",2.74925,"379J5II41OH6FFPFLVF7BXK9P0KELF"
"76",2,3833,"F","M","Jackson ran 10 miles","admit","Jackson is obese","factL","13","C",0,25,62,"English","Yes","m","m","",2.74925,"379J5II41OH6FFPFLVF7BXK9P0KELF"
"77",2,4512,NA,"F","Zack is coming to the meeting tomorrow","control","Zack is a member of the golf club",NA,"control1","control",0.46,26,62,"English","Yes","m","m","",2.74925,"379J5II41OH6FFPFLVF7BXK9P0KELF"
"78",2,3880,"F","M","Frank got a cat","be_right_that","Frank has always wanted a pet","factH","12","C",0.29,27,62,"English","Yes","m","m","",2.74925,"379J5II41OH6FFPFLVF7BXK9P0KELF"
"79",3,15533,"M","F","Isabella ate a steak on Sunday","discover","Isabella is a vegetarian","factL","7","NonProj",0,2,26,"english","No","m","m","",3.10351666666667,"3VD82FOHKQPZO28Y2WP4DQO0ZTCOCD"
"80",3,4236,"M","F","Grace visited her sister","annoyed","Grace loves her sister","factH","9","NonProj",0.5,3,26,"english","No","m","m","",3.10351666666667,"3VD82FOHKQPZO28Y2WP4DQO0ZTCOCD"
"81",3,5635,NA,"F","Todd played football in high school","control","Todd goes to the gym 3 times a week",NA,"control3","control",0.36,4,26,"english","No","m","m","",3.10351666666667,"3VD82FOHKQPZO28Y2WP4DQO0ZTCOCD"
"82",3,3701,"M","F","Josie went on vacation to France","reveal","Josie doesn&quotechart have a passport","factL","2","NonProj",0.62,5,26,"english","No","m","m","",3.10351666666667,"3VD82FOHKQPZO28Y2WP4DQO0ZTCOCD"
"83",3,1209,"F","M","Jackson ran 10 miles","know","Jackson is training for a marathon","factH","13","NonProj",0.74,6,26,"english","No","m","m","",3.10351666666667,"3VD82FOHKQPZO28Y2WP4DQO0ZTCOCD"
"84",3,2469,NA,"M","Zack is coming to the meeting tomorrow","control","Zack is a member of the golf club",NA,"control1","control",0.53,7,26,"english","No","m","m","",3.10351666666667,"3VD82FOHKQPZO28Y2WP4DQO0ZTCOCD"
"85",3,4114,NA,"M","Madison had a baby","control","Trish sent Madison a card",NA,"control5","control",0.62,8,26,"english","No","m","m","",3.10351666666667,"3VD82FOHKQPZO28Y2WP4DQO0ZTCOCD"
"86",3,3985,"F","F","Frank got a cat","acknowledge","Frank is allergic to cats","factL","12","C",0.57,9,26,"english","No","m","m","",3.10351666666667,"3VD82FOHKQPZO28Y2WP4DQO0ZTCOCD"
"87",3,862,"F","M","Owen shoveled snow last winter","demonstrate","Owen lives in Chicago","factH","17","C",0.55,10,26,"english","No","m","m","",3.10351666666667,"3VD82FOHKQPZO28Y2WP4DQO0ZTCOCD"
"88",3,2355,"F","M","Jayden rented a car","announce","Jayden&quotechars car is in the shop","factH","14","C",0.48,11,26,"english","No","m","m","",3.10351666666667,"3VD82FOHKQPZO28Y2WP4DQO0ZTCOCD"
"89",3,2673,NA,"F","Mary&quotechars aunt is sick","control","Mary visited her aunt on Sunday",NA,"control2","control",0.59,12,26,"english","No","m","m","",3.10351666666667,"3VD82FOHKQPZO28Y2WP4DQO0ZTCOCD"
"90",3,1735,"F","F","Jon walks to work","suggest","Jon lives 10 miles away from work","factL","19","C",0.56,13,26,"english","No","m","m","",3.10351666666667,"3VD82FOHKQPZO28Y2WP4DQO0ZTCOCD"
"91",3,3596,"F","F","Tony had a drink last night","inform_Sam","Tony really likes to party with his friends","factH","15","C",0.6,14,26,"english","No","m","m","",3.10351666666667,"3VD82FOHKQPZO28Y2WP4DQO0ZTCOCD"
"92",3,728,"M","M","Sophia got a tattoo","hear","Sophia is a hipster","factH","5","C",0.58,15,26,"english","No","m","m","",3.10351666666667,"3VD82FOHKQPZO28Y2WP4DQO0ZTCOCD"
"93",3,727,NA,"F","Vanessa is good at math","control","Vanessa won a prize at school",NA,"control4","control",0.48,16,26,"english","No","m","m","",3.10351666666667,"3VD82FOHKQPZO28Y2WP4DQO0ZTCOCD"
"94",3,665,"M","F","Olivia sleeps until noon","prove","Olivia has two small children","factL","4","C",0.55,17,26,"english","No","m","m","",3.10351666666667,"3VD82FOHKQPZO28Y2WP4DQO0ZTCOCD"
"95",3,718,"M","F","Emma studied on Saturday morning","confirm","Emma is in first grade","factL","3","C",0.45,18,26,"english","No","m","m","",3.10351666666667,"3VD82FOHKQPZO28Y2WP4DQO0ZTCOCD"
"96",3,702,"M","F","Zoe calculated the tip","see","Zoe is 5 years old","factL","10","NonProj",0.55,19,26,"english","No","m","m","",3.10351666666667,"3VD82FOHKQPZO28Y2WP4DQO0ZTCOCD"
"97",3,1252,"M","F","Emily bought a car yesterday","confess","Emily has been saving for a year","factH","8","C",0.42,20,26,"english","No","m","m","",3.10351666666667,"3VD82FOHKQPZO28Y2WP4DQO0ZTCOCD"
"98",3,1144,"F","F","Josh learned to ride a bike yesterday","pretend","Josh is a 5-year old boy","factH","16","NonProj",0.55,21,26,"english","No","m","m","",3.10351666666667,"3VD82FOHKQPZO28Y2WP4DQO0ZTCOCD"
"99",3,828,"F","M","Danny ate the last cupcake","say","Danny is a diabetic","factL","11","C",0.58,22,26,"english","No","m","m","",3.10351666666667,"3VD82FOHKQPZO28Y2WP4DQO0ZTCOCD"
"100",3,666,"F","M","Julian dances salsa","establish","Julian is Cuban","factH","18","NonProj",0.53,23,26,"english","No","m","m","",3.10351666666667,"3VD82FOHKQPZO28Y2WP4DQO0ZTCOCD"
"101",3,720,"M","M","Mia drank 2 cocktails last night","be_right_that","Mia is a nun","factL","6","C",0.35,24,26,"english","No","m","m","",3.10351666666667,"3VD82FOHKQPZO28Y2WP4DQO0ZTCOCD"
"102",3,672,"F","M","Charley speaks Spanish","think","Charley lives in Korea","factL","20","NonProj",0.5,25,26,"english","No","m","m","",3.10351666666667,"3VD82FOHKQPZO28Y2WP4DQO0ZTCOCD"
"103",3,662,NA,"M","Hendrick&quotechars car was expensive","control","Hendrick just bought a car",NA,"control6","control",0.58,26,26,"english","No","m","m","",3.10351666666667,"3VD82FOHKQPZO28Y2WP4DQO0ZTCOCD"
"104",3,1294,"M","F","Mary is pregnant","admit","Mary is taking a prenatal yoga class","factH","1","C",0.55,27,26,"english","No","m","m","",3.10351666666667,"3VD82FOHKQPZO28Y2WP4DQO0ZTCOCD"
"105",4,4610,"M","M","Isabella ate a steak on Sunday","inform_Sam","Isabella is from Argentina","factH","7","C",0,2,26,"english","No","m","f","",3.11735,"3WR9XG3T63CP8S3KSV2KJ6QHHRL74T"
"106",4,3724,"M","M","Mia drank 2 cocktails last night","confess","Mia is a college student","factH","6","C",0.53,3,26,"english","No","m","f","",3.11735,"3WR9XG3T63CP8S3KSV2KJ6QHHRL74T"
"107",4,5430,"F","F","Josh learned to ride a bike yesterday","think","Josh is a 5-year old boy","factH","16","NonProj",0.26,4,26,"english","No","m","f","",3.11735,"3WR9XG3T63CP8S3KSV2KJ6QHHRL74T"
"108",4,2160,NA,"M","Vanessa is good at math","control","Vanessa won a prize at school",NA,"control4","control",0.5,5,26,"english","No","m","f","",3.11735,"3WR9XG3T63CP8S3KSV2KJ6QHHRL74T"
"109",4,3240,"F","M","Jon walks to work","demonstrate","Jon lives 10 miles away from work","factL","19","C",0.66,6,26,"english","No","m","f","",3.11735,"3WR9XG3T63CP8S3KSV2KJ6QHHRL74T"
"110",4,3242,NA,"F","Zack is coming to the meeting tomorrow","control","Zack is a member of the golf club",NA,"control1","control",0.51,7,26,"english","No","m","f","",3.11735,"3WR9XG3T63CP8S3KSV2KJ6QHHRL74T"
"111",4,3016,"M","F","Grace visited her sister","annoyed","Grace loves her sister","factH","9","NonProj",0.54,8,26,"english","No","m","f","",3.11735,"3WR9XG3T63CP8S3KSV2KJ6QHHRL74T"
"112",4,2420,NA,"M","Todd played football in high school","control","Todd goes to the gym 3 times a week",NA,"control3","control",0.49,9,26,"english","No","m","f","",3.11735,"3WR9XG3T63CP8S3KSV2KJ6QHHRL74T"
"113",4,2407,"M","F","Emma studied on Saturday morning","admit","Emma is in law school","factH","3","C",0.65,10,26,"english","No","m","f","",3.11735,"3WR9XG3T63CP8S3KSV2KJ6QHHRL74T"
"114",4,2663,"F","F","Owen shoveled snow last winter","see","Owen lives in Chicago","factH","17","NonProj",0.36,11,26,"english","No","m","f","",3.11735,"3WR9XG3T63CP8S3KSV2KJ6QHHRL74T"
"115",4,2333,NA,"M","Hendrick&quotechars car was expensive","control","Hendrick just bought a car",NA,"control6","control",0.49,12,26,"english","No","m","f","",3.11735,"3WR9XG3T63CP8S3KSV2KJ6QHHRL74T"
"116",4,1879,"F","F","Charley speaks Spanish","hear","Charley lives in Korea","factL","20","C",0.39,13,26,"english","No","m","f","",3.11735,"3WR9XG3T63CP8S3KSV2KJ6QHHRL74T"
"117",4,15064,"M","F","Zoe calculated the tip","suggest","Zoe is 5 years old","factL","10","C",0.7,14,26,"english","No","m","f","",3.11735,"3WR9XG3T63CP8S3KSV2KJ6QHHRL74T"
"118",4,1261,"F","M","Tony had a drink last night","pretend","Tony really likes to party with his friends","factH","15","NonProj",0.43,15,26,"english","No","m","f","",3.11735,"3WR9XG3T63CP8S3KSV2KJ6QHHRL74T"
"119",4,647,"M","M","Mary is pregnant","announce","Mary is a middle school student","factL","1","C",0.54,16,26,"english","No","m","f","",3.11735,"3WR9XG3T63CP8S3KSV2KJ6QHHRL74T"
"120",4,812,"F","M","Jayden rented a car","acknowledge","Jayden doesn&quotechart have a driver&quotechars license","factL","14","C",0.36,17,26,"english","No","m","f","",3.11735,"3WR9XG3T63CP8S3KSV2KJ6QHHRL74T"
"121",4,736,"F","F","Frank got a cat","know","Frank is allergic to cats","factL","12","NonProj",0.61,18,26,"english","No","m","f","",3.11735,"3WR9XG3T63CP8S3KSV2KJ6QHHRL74T"
"122",4,585,"M","F","Josie went on vacation to France","say","Josie loves France","factH","2","C",0.5,19,26,"english","No","m","f","",3.11735,"3WR9XG3T63CP8S3KSV2KJ6QHHRL74T"
"123",4,1992,"M","F","Sophia got a tattoo","discover","Sophia is a high end fashion model","factL","5","NonProj",0.54,20,26,"english","No","m","f","",3.11735,"3WR9XG3T63CP8S3KSV2KJ6QHHRL74T"
"124",4,757,NA,"F","Madison had a baby","control","Trish sent Madison a card",NA,"control5","control",0.58,21,26,"english","No","m","f","",3.11735,"3WR9XG3T63CP8S3KSV2KJ6QHHRL74T"
"125",4,720,"F","M","Danny ate the last cupcake","reveal","Danny is a diabetic","factL","11","NonProj",0.55,22,26,"english","No","m","f","",3.11735,"3WR9XG3T63CP8S3KSV2KJ6QHHRL74T"
"126",4,1288,"F","F","Jackson ran 10 miles","confirm","Jackson is training for a marathon","factH","13","C",0.54,23,26,"english","No","m","f","",3.11735,"3WR9XG3T63CP8S3KSV2KJ6QHHRL74T"
"127",4,876,"F","F","Julian dances salsa","establish","Julian is Cuban","factH","18","NonProj",0.54,24,26,"english","No","m","f","",3.11735,"3WR9XG3T63CP8S3KSV2KJ6QHHRL74T"
"128",4,586,"M","F","Emily bought a car yesterday","prove","Emily never has any money","factL","8","C",0.55,25,26,"english","No","m","f","",3.11735,"3WR9XG3T63CP8S3KSV2KJ6QHHRL74T"
"129",4,1839,NA,"F","Mary&quotechars aunt is sick","control","Mary visited her aunt on Sunday",NA,"control2","control",0.56,26,26,"english","No","m","f","",3.11735,"3WR9XG3T63CP8S3KSV2KJ6QHHRL74T"
"130",4,1010,"M","M","Olivia sleeps until noon","be_right_that","Olivia has two small children","factL","4","C",0.53,27,26,"english","No","m","f","",3.11735,"3WR9XG3T63CP8S3KSV2KJ6QHHRL74T"
"131",5,7535,"M","M","Olivia sleeps until noon","annoyed","Olivia has two small children","factL","4","NonProj",0.25,2,50,"English","Yes","m","m","Like the price but it probably is high. ",3.04093333333333,"3SUWZRL0MYEOWUM8YR95ME2CZ5VE67"
