"","workerid","rt","subjectGender","speakerGender","content","verb","contentNr","trigger_class","response","slide_number_in_experiment","age","language","asses","american","gender","comments","Answer.time_in_minutes"
"26",0,12671,"M","F","Isabella ate a steak on Sunday","admit","7","C",0.76,30,34,"En","Yes",0,"Male","$0.90",3.82321666666667
"27",0,4729,NA,"F","Tara wants me to cook for her and I&quotecharm a terrific cook","control_good","control_good2","control",0.11,31,34,"En","Yes",0,"Male","$0.90",3.82321666666667
"28",0,4471,"M","M","Mia drank 2 cocktails last night","announce","6","C",0.47,32,34,"En","Yes",0,"Male","$0.90",3.82321666666667
"29",1,7640,NA,"M","Tara wants me to cook for her and I&quotecharm a terrific cook","control_good","control_good2","control",0,5,25,"English","Yes",0,"Male","great hit, fair price. Thank you. ",4.43013333333333
"30",1,5062,"F","M","Danny ate the last cupcake","hear","11","C",0,6,25,"English","Yes",0,"Male","great hit, fair price. Thank you. ",4.43013333333333
"31",1,4508,"M","F","Emily bought a car yesterday","say","8","C",0,7,25,"English","Yes",0,"Male","great hit, fair price. Thank you. ",4.43013333333333
"32",1,6659,NA,"M","Vanessa is really good at math, but I&quotecharm not","control_good","control_good4","control",0,8,25,"English","Yes",0,"Male","great hit, fair price. Thank you. ",4.43013333333333
"33",1,6004,"F","M","Jayden rented a car","admit","14","C",0.76,9,25,"English","Yes",0,"Male","great hit, fair price. Thank you. ",4.43013333333333
"34",1,5650,"M","M","Zoe calculated the tip","discover","10","NonProj",0.74,10,25,"English","Yes",0,"Male","great hit, fair price. Thank you. ",4.43013333333333
"35",1,7532,NA,"F","Dana has never smoked in her life and she stopped smoking recently","control_bad","control_bad1","control",1,11,25,"English","Yes",0,"Male","great hit, fair price. Thank you. ",4.43013333333333
"36",1,4130,"M","M","Mary is pregnant","think","1","NonProj",0,12,25,"English","Yes",0,"Male","great hit, fair price. Thank you. ",4.43013333333333
"37",1,4128,NA,"M","Madison laughed loudly and she didn&quotechart laugh","control_bad","control_bad3","control",1,13,25,"English","Yes",0,"Male","great hit, fair price. Thank you. ",4.43013333333333
"38",1,5572,"M","M","Emma studied on Saturday morning","pretend","3","NonProj",0,14,25,"English","Yes",0,"Male","great hit, fair price. Thank you. ",4.43013333333333
"39",1,3459,"M","M","Sophia got a tattoo","know","5","NonProj",1,15,25,"English","Yes",0,"Male","great hit, fair price. Thank you. ",4.43013333333333
"40",1,3548,NA,"F","Sebastian lives in the USA and has never been to the USA","control_bad","control_bad4","control",1,16,25,"English","Yes",0,"Male","great hit, fair price. Thank you. ",4.43013333333333
"41",1,6555,"F","F","Jackson ran 10 miles","confess","13","C",0.82,17,25,"English","Yes",0,"Male","great hit, fair price. Thank you. ",4.43013333333333
"42",1,7208,"M","M","Olivia sleeps until noon","acknowledge","4","C",0.56,18,25,"English","Yes",0,"Male","great hit, fair price. Thank you. ",4.43013333333333
"43",1,5069,"F","F","Josh learned to ride a bike yesterday","establish","16","NonProj",0.38,19,25,"English","Yes",0,"Male","great hit, fair price. Thank you. ",4.43013333333333
"44",1,4014,"F","M","Jon walks to work","announce","19","C",0,20,25,"English","Yes",0,"Male","great hit, fair price. Thank you. ",4.43013333333333
"45",1,3758,NA,"F","Hendrick&quotechars car is completely red and his car is not red","control_bad","control_bad2","control",1,21,25,"English","Yes",0,"Male","great hit, fair price. Thank you. ",4.43013333333333
"46",1,5911,"M","F","Josie went on vacation to France","be_right_that","2","C",1,22,25,"English","Yes",0,"Male","great hit, fair price. Thank you. ",4.43013333333333
"47",1,3497,NA,"F","Zack believes that I&quotecharm married, but I&quotecharm actually single","control_good","control_good1","control",0,23,25,"English","Yes",0,"Male","great hit, fair price. Thank you. ",4.43013333333333
"48",1,42529,"M","M","Grace visited her sister","annoyed","9","NonProj",0.47,24,25,"English","Yes",0,"Male","great hit, fair price. Thank you. ",4.43013333333333
"49",1,5532,"F","F","Owen shoveled snow last winter","see","17","NonProj",0.74,25,25,"English","Yes",0,"Male","great hit, fair price. Thank you. ",4.43013333333333
"50",1,3914,"F","F","Charley speaks Spanish","prove","20","C",0.78,26,25,"English","Yes",0,"Male","great hit, fair price. Thank you. ",4.43013333333333
"51",1,6399,"M","F","Isabella ate a steak on Sunday","reveal","7","NonProj",0,27,25,"English","Yes",0,"Male","great hit, fair price. Thank you. ",4.43013333333333
"52",1,5835,"F","F","Julian dances salsa","demonstrate","18","C",1,28,25,"English","Yes",0,"Male","great hit, fair price. Thank you. ",4.43013333333333
"53",1,11453,"F","F","Frank got a cat","suggest","12","C",0,29,25,"English","Yes",0,"Male","great hit, fair price. Thank you. ",4.43013333333333
"54",1,3867,"F","F","Tony had a drink last night","confirm","15","C",1,30,25,"English","Yes",0,"Male","great hit, fair price. Thank you. ",4.43013333333333
"55",1,14757,"M","F","Mia drank 2 cocktails last night","inform_Sam","6","C",0.02,31,25,"English","Yes",0,"Male","great hit, fair price. Thank you. ",4.43013333333333
"56",1,4923,NA,"F","Frederick is both smarter and taller than I am","control_good","control_good3","control",0,32,25,"English","Yes",0,"Male","great hit, fair price. Thank you. ",4.43013333333333
"57",2,4984,"M","F","Grace visited her sister","prove","9","C",1,5,26,"English","Yes",0,"Male","",2.99963333333333
"58",2,3443,"M","M","Emma studied on Saturday morning","hear","3","C",0,6,26,"English","Yes",0,"Male","",2.99963333333333
"59",2,4202,"F","F","Charley speaks Spanish","reveal","20","NonProj",0,7,26,"English","Yes",0,"Male","",2.99963333333333
"60",2,3229,"M","M","Zoe calculated the tip","inform_Sam","10","C",0,8,26,"English","Yes",0,"Male","",2.99963333333333
"61",2,5759,"F","M","Tony had a drink last night","admit","15","C",1,9,26,"English","Yes",0,"Male","",2.99963333333333
"62",2,5190,NA,"F","Dana has never smoked in her life and she stopped smoking recently","control_bad","control_bad1","control",1,10,26,"English","Yes",0,"Male","",2.99963333333333
"63",2,5048,NA,"M","Tara wants me to cook for her and I&quotecharm a terrific cook","control_good","control_good2","control",0,11,26,"English","Yes",0,"Male","",2.99963333333333
"64",2,7671,"F","F","Danny ate the last cupcake","suggest","11","C",0,12,26,"English","Yes",0,"Male","",2.99963333333333
"65",2,3051,NA,"F","Sebastian lives in the USA and has never been to the USA","control_bad","control_bad4","control",1,13,26,"English","Yes",0,"Male","",2.99963333333333
"66",2,3519,"F","F","Josh learned to ride a bike yesterday","announce","16","C",1,14,26,"English","Yes",0,"Male","",2.99963333333333
"67",2,6127,"F","F","Julian dances salsa","demonstrate","18","C",1,15,26,"English","Yes",0,"Male","",2.99963333333333
"68",2,3630,"M","F","Emily bought a car yesterday","confirm","8","C",1,16,26,"English","Yes",0,"Male","",2.99963333333333
"69",2,3065,"F","F","Jayden rented a car","confess","14","C",1,17,26,"English","Yes",0,"Male","",2.99963333333333
"70",2,3481,NA,"F","Hendrick&quotechars car is completely red and his car is not red","control_bad","control_bad2","control",1,18,26,"English","Yes",0,"Male","",2.99963333333333
"71",2,5029,"M","M","Mia drank 2 cocktails last night","establish","6","NonProj",0.67,19,26,"English","Yes",0,"Male","",2.99963333333333
"72",2,5503,"F","M","Frank got a cat","know","12","NonProj",1,20,26,"English","Yes",0,"Male","",2.99963333333333
"73",2,4544,"M","F","Isabella ate a steak on Sunday","annoyed","7","NonProj",0.57,21,26,"English","Yes",0,"Male","",2.99963333333333
"74",2,9679,"F","F","Jackson ran 10 miles","discover","13","NonProj",1,22,26,"English","Yes",0,"Male","",2.99963333333333
"75",2,2943,"M","M","Sophia got a tattoo","acknowledge","5","C",1,23,26,"English","Yes",0,"Male","",2.99963333333333
"76",2,3011,"M","F","Josie went on vacation to France","be_right_that","2","C",1,24,26,"English","Yes",0,"Male","",2.99963333333333
"77",2,4761,"F","M","Owen shoveled snow last winter","think","17","NonProj",0,25,26,"English","Yes",0,"Male","",2.99963333333333
"78",2,2747,NA,"M","Zack believes that I&quotecharm married, but I&quotecharm actually single","control_good","control_good1","control",0,26,26,"English","Yes",0,"Male","",2.99963333333333
"79",2,2721,NA,"M","Vanessa is really good at math, but I&quotecharm not","control_good","control_good4","control",0,27,26,"English","Yes",0,"Male","",2.99963333333333
"80",2,4248,"M","F","Olivia sleeps until noon","say","4","C",0.77,28,26,"English","Yes",0,"Male","",2.99963333333333
"81",2,3507,NA,"M","Frederick is both smarter and taller than I am","control_good","control_good3","control",0,29,26,"English","Yes",0,"Male","",2.99963333333333
"82",2,4698,NA,"F","Madison laughed loudly and she didn&quotechart laugh","control_bad","control_bad3","control",1,30,26,"English","Yes",0,"Male","",2.99963333333333
"83",2,4163,"F","M","Jon walks to work","pretend","19","NonProj",0,31,26,"English","Yes",0,"Male","",2.99963333333333
"84",2,3852,"M","F","Mary is pregnant","see","1","NonProj",0.79,32,26,"English","Yes",0,"Male","",2.99963333333333
"85",3,16285,"M","M","Isabella ate a steak on Sunday","reveal","7","NonProj",0.36,5,23,"English","Yes",0,"Male","",5.1296
"86",3,9729,NA,"F","Vanessa is really good at math, but I&quotecharm not","control_good","control_good4","control",0,6,23,"English","Yes",0,"Male","",5.1296
"87",3,17499,"M","M","Sophia got a tattoo","confess","5","C",0.38,7,23,"English","Yes",0,"Male","",5.1296
"88",3,6165,"M","F","Mary is pregnant","demonstrate","1","C",1,8,23,"English","Yes",0,"Male","",5.1296
"89",3,6075,"F","M","Tony had a drink last night","announce","15","C",0.38,9,23,"English","Yes",0,"Male","",5.1296
"90",3,6710,"F","F","Jackson ran 10 miles","hear","13","C",0.15,10,23,"English","Yes",0,"Male","",5.1296
"91",3,6498,NA,"F","Zack believes that I&quotecharm married, but I&quotecharm actually single","control_good","control_good1","control",0,11,23,"English","Yes",0,"Male","",5.1296
"92",3,9847,NA,"M","Frederick is both smarter and taller than I am","control_good","control_good3","control",0,12,23,"English","Yes",0,"Male","",5.1296
"93",3,14419,"M","F","Olivia sleeps until noon","admit","4","C",0.46,13,23,"English","Yes",0,"Male","",5.1296
"94",3,12371,"F","F","Owen shoveled snow last winter","acknowledge","17","C",0.91,14,23,"English","Yes",0,"Male","",5.1296
"95",3,6217,"F","M","Josh learned to ride a bike yesterday","pretend","16","NonProj",0,15,23,"English","Yes",0,"Male","",5.1296
"96",3,8280,"M","F","Josie went on vacation to France","establish","2","NonProj",0.3,16,23,"English","Yes",0,"Male","",5.1296
"97",3,8264,NA,"M","Tara wants me to cook for her and I&quotecharm a terrific cook","control_good","control_good2","control",0,17,23,"English","Yes",0,"Male","",5.1296
"98",3,5874,"M","F","Mia drank 2 cocktails last night","discover","6","NonProj",0.83,18,23,"English","Yes",0,"Male","",5.1296
"99",3,6552,NA,"F","Sebastian lives in the USA and has never been to the USA","control_bad","control_bad4","control",1,19,23,"English","Yes",0,"Male","",5.1296
"100",3,5267,"F","M","Frank got a cat","think","12","NonProj",0,20,23,"English","Yes",0,"Male","",5.1296
"101",3,5793,NA,"M","Hendrick&quotechars car is completely red and his car is not red","control_bad","control_bad2","control",1,21,23,"English","Yes",0,"Male","",5.1296
"102",3,7909,"M","F","Zoe calculated the tip","see","10","NonProj",0.98,22,23,"English","Yes",0,"Male","",5.1296
"103",3,3859,NA,"F","Madison laughed loudly and she didn&quotechart laugh","control_bad","control_bad3","control",1,23,23,"English","Yes",0,"Male","",5.1296
"104",3,6333,"F","M","Jon walks to work","annoyed","19","NonProj",1,24,23,"English","Yes",0,"Male","",5.1296
"105",3,25998,"M","M","Grace visited her sister","inform_Sam","9","C",0.57,25,23,"English","Yes",0,"Male","",5.1296
"106",3,8023,NA,"F","Dana has never smoked in her life and she stopped smoking recently","control_bad","control_bad1","control",1,26,23,"English","Yes",0,"Male","",5.1296
"107",3,8014,"M","F","Emma studied on Saturday morning","confirm","3","C",0.8,27,23,"English","Yes",0,"Male","",5.1296
"108",3,6827,"F","F","Charley speaks Spanish","prove","20","C",0.84,28,23,"English","Yes",0,"Male","",5.1296
"109",3,8941,"F","F","Danny ate the last cupcake","know","11","NonProj",0.86,29,23,"English","Yes",0,"Male","",5.1296
"110",3,9096,"F","M","Jayden rented a car","say","14","C",0.11,30,23,"English","Yes",0,"Male","",5.1296
"111",3,5011,"F","M","Julian dances salsa","be_right_that","18","C",1,31,23,"English","Yes",0,"Male","",5.1296
"112",3,5767,"M","M","Emily bought a car yesterday","suggest","8","C",0.22,32,23,"English","Yes",0,"Male","",5.1296
"113",4,5999,"F","M","Josh learned to ride a bike yesterday","announce","16","C",1,5,31,"English","Yes",0,"Female","I think that the pay is fair as it seems an easy task, and at the same time it seems to be pretty quick, and the interface is pretty straight forward. ",4.93153333333333
"114",4,5184,"F","F","Tony had a drink last night","inform_Sam","15","C",0.87,6,31,"English","Yes",0,"Female","I think that the pay is fair as it seems an easy task, and at the same time it seems to be pretty quick, and the interface is pretty straight forward. ",4.93153333333333
"115",4,5151,"M","M","Mary is pregnant","acknowledge","1","C",0.81,7,31,"English","Yes",0,"Female","I think that the pay is fair as it seems an easy task, and at the same time it seems to be pretty quick, and the interface is pretty straight forward. ",4.93153333333333
"116",4,10871,"M","F","Sophia got a tattoo","hear","5","C",0.62,8,31,"English","Yes",0,"Female","I think that the pay is fair as it seems an easy task, and at the same time it seems to be pretty quick, and the interface is pretty straight forward. ",4.93153333333333
"117",4,4592,NA,"F","Vanessa is really good at math, but I&quotecharm not","control_good","control_good4","control",0,9,31,"English","Yes",0,"Female","I think that the pay is fair as it seems an easy task, and at the same time it seems to be pretty quick, and the interface is pretty straight forward. ",4.93153333333333
"118",4,5784,NA,"F","Sebastian lives in the USA and has never been to the USA","control_bad","control_bad4","control",1,10,31,"English","Yes",0,"Female","I think that the pay is fair as it seems an easy task, and at the same time it seems to be pretty quick, and the interface is pretty straight forward. ",4.93153333333333
"119",4,6703,"M","M","Emma studied on Saturday morning","admit","3","C",0.71,11,31,"English","Yes",0,"Female","I think that the pay is fair as it seems an easy task, and at the same time it seems to be pretty quick, and the interface is pretty straight forward. ",4.93153333333333
"120",4,4944,"F","M","Frank got a cat","think","12","NonProj",0.66,12,31,"English","Yes",0,"Female","I think that the pay is fair as it seems an easy task, and at the same time it seems to be pretty quick, and the interface is pretty straight forward. ",4.93153333333333
"121",4,6216,NA,"F","Hendrick&quotechars car is completely red and his car is not red","control_bad","control_bad2","control",0,13,31,"English","Yes",0,"Female","I think that the pay is fair as it seems an easy task, and at the same time it seems to be pretty quick, and the interface is pretty straight forward. ",4.93153333333333
"122",4,7951,"M","M","Josie went on vacation to France","see","2","NonProj",0.17,14,31,"English","Yes",0,"Female","I think that the pay is fair as it seems an easy task, and at the same time it seems to be pretty quick, and the interface is pretty straight forward. ",4.93153333333333
"123",4,7728,NA,"F","Zack believes that I&quotecharm married, but I&quotecharm actually single","control_good","control_good1","control",0.62,15,31,"English","Yes",0,"Female","I think that the pay is fair as it seems an easy task, and at the same time it seems to be pretty quick, and the interface is pretty straight forward. ",4.93153333333333
"124",4,10065,"M","M","Olivia sleeps until noon","annoyed","4","NonProj",0.87,16,31,"English","Yes",0,"Female","I think that the pay is fair as it seems an easy task, and at the same time it seems to be pretty quick, and the interface is pretty straight forward. ",4.93153333333333
"125",4,7367,"F","M","Charley speaks Spanish","say","20","C",0.81,17,31,"English","Yes",0,"Female","I think that the pay is fair as it seems an easy task, and at the same time it seems to be pretty quick, and the interface is pretty straight forward. ",4.93153333333333
"126",4,8240,"M","M","Grace visited her sister","establish","9","NonProj",0.99,18,31,"English","Yes",0,"Female","I think that the pay is fair as it seems an easy task, and at the same time it seems to be pretty quick, and the interface is pretty straight forward. ",4.93153333333333
"127",4,8057,NA,"F","Frederick is both smarter and taller than I am","control_good","control_good3","control",0,19,31,"English","Yes",0,"Female","I think that the pay is fair as it seems an easy task, and at the same time it seems to be pretty quick, and the interface is pretty straight forward. ",4.93153333333333
"128",4,5903,"F","M","Julian dances salsa","confirm","18","C",0.99,20,31,"English","Yes",0,"Female","I think that the pay is fair as it seems an easy task, and at the same time it seems to be pretty quick, and the interface is pretty straight forward. ",4.93153333333333
"129",4,4824,"F","F","Jackson ran 10 miles","suggest","13","C",0.02,21,31,"English","Yes",0,"Female","I think that the pay is fair as it seems an easy task, and at the same time it seems to be pretty quick, and the interface is pretty straight forward. ",4.93153333333333
"130",4,7720,NA,"M","Madison laughed loudly and she didn&quotechart laugh","control_bad","control_bad3","control",0.98,22,31,"English","Yes",0,"Female","I think that the pay is fair as it seems an easy task, and at the same time it seems to be pretty quick, and the interface is pretty straight forward. ",4.93153333333333
"131",4,7273,NA,"F","Tara wants me to cook for her and I&quotecharm a terrific cook","control_good","control_good2","control",0.01,23,31,"English","Yes",0,"Female","I think that the pay is fair as it seems an easy task, and at the same time it seems to be pretty quick, and the interface is pretty straight forward. ",4.93153333333333
"132",4,7903,"M","M","Mia drank 2 cocktails last night","be_right_that","6","C",1,24,31,"English","Yes",0,"Female","I think that the pay is fair as it seems an easy task, and at the same time it seems to be pretty quick, and the interface is pretty straight forward. ",4.93153333333333
"133",4,5783,"F","F","Owen shoveled snow last winter","prove","17","C",0.99,25,31,"English","Yes",0,"Female","I think that the pay is fair as it seems an easy task, and at the same time it seems to be pretty quick, and the interface is pretty straight forward. ",4.93153333333333
"134",4,7231,NA,"M","Dana has never smoked in her life and she stopped smoking recently","control_bad","control_bad1","control",0.99,26,31,"English","Yes",0,"Female","I think that the pay is fair as it seems an easy task, and at the same time it seems to be pretty quick, and the interface is pretty straight forward. ",4.93153333333333
"135",4,4864,"F","M","Jon walks to work","pretend","19","NonProj",0.8,27,31,"English","Yes",0,"Female","I think that the pay is fair as it seems an easy task, and at the same time it seems to be pretty quick, and the interface is pretty straight forward. ",4.93153333333333
"136",4,5248,"F","F","Jayden rented a car","know","14","NonProj",0.92,28,31,"English","Yes",0,"Female","I think that the pay is fair as it seems an easy task, and at the same time it seems to be pretty quick, and the interface is pretty straight forward. ",4.93153333333333
"137",4,8135,"M","F","Isabella ate a steak on Sunday","confess","7","C",0.74,29,31,"English","Yes",0,"Female","I think that the pay is fair as it seems an easy task, and at the same time it seems to be pretty quick, and the interface is pretty straight forward. ",4.93153333333333
"138",4,5992,"M","F","Zoe calculated the tip","discover","10","NonProj",0.85,30,31,"English","Yes",0,"Female","I think that the pay is fair as it seems an easy task, and at the same time it seems to be pretty quick, and the interface is pretty straight forward. ",4.93153333333333
"139",4,10560,"M","M","Emily bought a car yesterday","demonstrate","8","C",1,31,31,"English","Yes",0,"Female","I think that the pay is fair as it seems an easy task, and at the same time it seems to be pretty quick, and the interface is pretty straight forward. ",4.93153333333333
"140",4,9607,"F","F","Danny ate the last cupcake","reveal","11","NonProj",1,32,31,"English","Yes",0,"Female","I think that the pay is fair as it seems an easy task, and at the same time it seems to be pretty quick, and the interface is pretty straight forward. ",4.93153333333333
"141",5,19058,NA,"M","Hendrick&quotechars car is completely red and his car is not red","control_bad","control_bad2","control",0.95,5,44,"English","Yes",0,"Male","$1.00",4.92728333333333
"142",5,8730,NA,"M","Dana has never smoked in her life and she stopped smoking recently","control_bad","control_bad1","control",0.96,6,44,"English","Yes",0,"Male","$1.00",4.92728333333333
"143",5,17235,"M","F","Mia drank 2 cocktails last night","prove","6","C",0.95,7,44,"English","Yes",0,"Male","$1.00",4.92728333333333
"144",5,17348,"F","F","Josh learned to ride a bike yesterday","discover","16","NonProj",0.09,8,44,"English","Yes",0,"Male","$1.00",4.92728333333333
"145",5,11686,NA,"M","Tara wants me to cook for her and I&quotecharm a terrific cook","control_good","control_good2","control",0.02,9,44,"English","Yes",0,"Male","$1.00",4.92728333333333
"146",5,4341,"M","F","Grace visited her sister","admit","9","C",0.94,10,44,"English","Yes",0,"Male","$1.00",4.92728333333333
"147",5,9123,"F","M","Jayden rented a car","pretend","14","NonProj",0.03,11,44,"English","Yes",0,"Male","$1.00",4.92728333333333
"148",5,6610,"F","F","Owen shoveled snow last winter","demonstrate","17","C",0.94,12,44,"English","Yes",0,"Male","$1.00",4.92728333333333
"149",5,4800,"F","M","Charley speaks Spanish","establish","20","NonProj",0.96,13,44,"English","Yes",0,"Male","$1.00",4.92728333333333
"150",5,23892,"M","M","Josie went on vacation to France","announce","2","C",0.94,14,44,"English","Yes",0,"Male","$1.00",4.92728333333333
"151",5,4443,"F","F","Danny ate the last cupcake","confirm","11","C",0.94,15,44,"English","Yes",0,"Male","$1.00",4.92728333333333
"152",5,6144,NA,"F","Madison laughed loudly and she didn&quotechart laugh","control_bad","control_bad3","control",0.93,16,44,"English","Yes",0,"Male","$1.00",4.92728333333333
"153",5,7632,"M","F","Emily bought a car yesterday","think","8","NonProj",0.09,17,44,"English","Yes",0,"Male","$1.00",4.92728333333333
"154",5,5477,"M","M","Emma studied on Saturday morning","annoyed","3","NonProj",0.94,18,44,"English","Yes",0,"Male","$1.00",4.92728333333333
"155",5,5098,"M","M","Olivia sleeps until noon","be_right_that","4","C",0.92,19,44,"English","Yes",0,"Male","$1.00",4.92728333333333
"156",5,5008,"M","F","Sophia got a tattoo","reveal","5","NonProj",0.92,20,44,"English","Yes",0,"Male","$1.00",4.92728333333333
"157",5,8055,"M","F","Isabella ate a steak on Sunday","say","7","C",0.94,21,44,"English","Yes",0,"Male","$1.00",4.92728333333333
"158",5,6068,NA,"F","Zack believes that I&quotecharm married, but I&quotecharm actually single","control_good","control_good1","control",0.03,22,44,"English","Yes",0,"Male","$1.00",4.92728333333333
"159",5,3701,"F","M","Frank got a cat","confess","12","C",0.94,23,44,"English","Yes",0,"Male","$1.00",4.92728333333333
"160",5,5007,NA,"F","Vanessa is really good at math, but I&quotecharm not","control_good","control_good4","control",0.03,24,44,"English","Yes",0,"Male","$1.00",4.92728333333333
"161",5,4751,"F","F","Tony had a drink last night","acknowledge","15","C",0.94,25,44,"English","Yes",0,"Male","$1.00",4.92728333333333
"162",5,5980,"F","M","Julian dances salsa","know","18","NonProj",0.96,26,44,"English","Yes",0,"Male","$1.00",4.92728333333333
"163",5,8780,"M","M","Zoe calculated the tip","inform_Sam","10","C",0.9,27,44,"English","Yes",0,"Male","$1.00",4.92728333333333
"164",5,3767,NA,"M","Sebastian lives in the USA and has never been to the USA","control_bad","control_bad4","control",0.97,28,44,"English","Yes",0,"Male","$1.00",4.92728333333333
"165",5,4135,NA,"F","Frederick is both smarter and taller than I am","control_good","control_good3","control",0.02,29,44,"English","Yes",0,"Male","$1.00",4.92728333333333
"166",5,6050,"F","F","Jackson ran 10 miles","suggest","13","C",0.56,30,44,"English","Yes",0,"Male","$1.00",4.92728333333333
"167",5,3551,"M","F","Mary is pregnant","see","1","NonProj",0.97,31,44,"English","Yes",0,"Male","$1.00",4.92728333333333
"168",5,4675,"F","F","Jon walks to work","hear","19","C",0.04,32,44,"English","Yes",0,"Male","$1.00",4.92728333333333
"169",6,9546,"F","M","Owen shoveled snow last winter","discover","17","NonProj",0.99,5,48,"English","Yes",0,"Female","Good Amount for the amount of work. ",4.34856666666667
"170",6,8809,NA,"M","Madison laughed loudly and she didn&quotechart laugh","control_bad","control_bad3","control",0.98,6,48,"English","Yes",0,"Female","Good Amount for the amount of work. ",4.34856666666667
"171",6,8229,"M","F","Josie went on vacation to France","suggest","2","C",0.01,7,48,"English","Yes",0,"Female","Good Amount for the amount of work. ",4.34856666666667
"172",6,5052,"M","F","Isabella ate a steak on Sunday","acknowledge","7","C",0.99,8,48,"English","Yes",0,"Female","Good Amount for the amount of work. ",4.34856666666667
"173",6,8197,"M","M","Zoe calculated the tip","demonstrate","10","C",0.99,9,48,"English","Yes",0,"Female","Good Amount for the amount of work. ",4.34856666666667
"174",6,4225,"M","F","Mary is pregnant","reveal","1","NonProj",1,10,48,"English","Yes",0,"Female","Good Amount for the amount of work. ",4.34856666666667
"175",6,5026,"F","F","Jon walks to work","announce","19","C",0.97,11,48,"English","Yes",0,"Female","Good Amount for the amount of work. ",4.34856666666667
"176",6,3361,NA,"F","Zack believes that I&quotecharm married, but I&quotecharm actually single","control_good","control_good1","control",0.01,12,48,"English","Yes",0,"Female","Good Amount for the amount of work. ",4.34856666666667
"177",6,10878,"M","M","Olivia sleeps until noon","annoyed","4","NonProj",0.31,13,48,"English","Yes",0,"Female","Good Amount for the amount of work. ",4.34856666666667
