"","content","short_trigger","workerid","prior_type","prior_fact","block_proj","prior","projective","eventItem"
"72","ballet","MC",79,"main_clause","Ballet is a type of dance","block2",0.91,0.85,"MC"
"73","ballet","MC",80,"main_clause","Ballet is a type of dance","block1",0.5,0.41,"MC"
"74","ballet","MC",81,"main_clause","Ballet is a type of dance","block2",0.46,0.49,"MC"
"75","ballet","MC",82,"main_clause","Ballet is a type of dance","block2",0.18,0,"MC"
"76","ballet","MC",83,"main_clause","Ballet is a type of dance","block1",0.5,0.04,"MC"
"77","ballet","MC",84,"main_clause","Ballet is a type of dance","block1",0.78,0.01,"MC"
"78","ballet","MC",85,"main_clause","Ballet is a type of dance","block1",0.08,0.03,"MC"
"79","ballet","MC",86,"main_clause","Ballet is a type of dance","block2",0.52,0,"MC"
"80","ballet","MC",87,"main_clause","Ballet is a type of dance","block2",0.77,0.2,"MC"
"81","ballet","MC",88,"main_clause","Ballet is a type of dance","block2",0.5,0.31,"MC"
"82","ballet","MC",89,"main_clause","Ballet is a type of dance","block2",0.48,0.01,"MC"
"83","ballet","MC",90,"main_clause","Ballet is a type of dance","block2",0.49,0,"MC"
"84","ballet","MC",91,"main_clause","Ballet is a type of dance","block1",0.68,0.01,"MC"
"85","ballet","MC",92,"main_clause","Ballet is a type of dance","block1",0.17,0.22,"MC"
"86","ballet","MC",93,"main_clause","Ballet is a type of dance","block2",0.72,0.09,"MC"
"87","ballet","MC",94,"main_clause","Ballet is a type of dance","block2",0.83,0.9,"MC"
"88","ballet","MC",95,"main_clause","Ballet is a type of dance","block2",0.53,0.07,"MC"
"89","ballet","MC",96,"main_clause","Ballet is a type of dance","block2",0.33,0.79,"MC"
"90","ballet","MC",97,"main_clause","Ballet is a type of dance","block2",0.98,0.03,"MC"
"91","ballet","MC",98,"main_clause","Ballet is a type of dance","block2",0.49,0,"MC"
"92","ballet","MC",99,"main_clause","Ballet is a type of dance","block2",0.49,0.5,"MC"
"93","ballet","MC",100,"main_clause","Ballet is a type of dance","block2",0.64,0.92,"MC"
"94","ballet","MC",101,"main_clause","Ballet is a type of dance","block1",0.48,0.01,"MC"
"95","ballet","MC",102,"main_clause","Ballet is a type of dance","block1",0.5,0.09,"MC"
"96","ballet","MC",103,"main_clause","Ballet is a type of dance","block1",0.49,0,"MC"
"97","ballet","MC",105,"main_clause","Ballet is a type of dance","block2",0.5,0.55,"MC"
"98","ballet","MC",106,"main_clause","Ballet is a type of dance","block1",0.53,0.03,"MC"
"99","ballet","MC",107,"main_clause","Ballet is a type of dance","block2",0.49,0.07,"MC"
"100","ballet","MC",108,"main_clause","Ballet is a type of dance","block1",0.44,0.13,"MC"
"101","ballet","MC",109,"main_clause","Ballet is a type of dance","block1",0.49,0.23,"MC"
"102","ballet","MC",110,"main_clause","Ballet is a type of dance","block1",0.96,0.04,"MC"
"103","ballet","MC",111,"main_clause","Ballet is a type of dance","block2",0.61,0.09,"MC"
"104","ballet","MC",112,"main_clause","Ballet is a type of dance","block2",0.5,0.56,"MC"
"105","ballet","MC",113,"main_clause","Ballet is a type of dance","block1",0.5,0,"MC"
"106","ballet","MC",114,"main_clause","Ballet is a type of dance","block1",0.69,0.27,"MC"
"107","ballet","MC",115,"main_clause","Ballet is a type of dance","block2",0.24,0.23,"MC"
"108","ballet","MC",116,"main_clause","Ballet is a type of dance","block2",0.6,0.64,"MC"
"109","ballet","MC",117,"main_clause","Ballet is a type of dance","block1",0.23,0.1,"MC"
"110","ballet","MC",118,"main_clause","Ballet is a type of dance","block2",0.49,0.15,"MC"
"111","ballet","MC",119,"main_clause","Ballet is a type of dance","block1",0.46,0,"MC"
"112","ballet","MC",120,"main_clause","Ballet is a type of dance","block2",0.92,0.66,"MC"
"113","ballet","MC",121,"main_clause","Ballet is a type of dance","block1",0.7,0.8,"MC"
"114","ballet","MC",122,"main_clause","Ballet is a type of dance","block1",0.49,0,"MC"
"115","ballet","MC",123,"main_clause","Ballet is a type of dance","block1",0.48,0.04,"MC"
"116","ballet","MC",124,"main_clause","Ballet is a type of dance","block2",0.6,0.37,"MC"
"117","ballet","MC",125,"main_clause","Ballet is a type of dance","block1",0.5,0,"MC"
"118","ballet","MC",126,"main_clause","Ballet is a type of dance","block2",0.35,0,"MC"
"119","ballet","MC",128,"main_clause","Ballet is a type of dance","block2",0.3,0.01,"MC"
"120","ballet","MC",130,"main_clause","Ballet is a type of dance","block2",0.51,0.11,"MC"
"121","ballet","MC",131,"main_clause","Ballet is a type of dance","block2",0.31,0.1,"MC"
"122","ballet","MC",132,"main_clause","Ballet is a type of dance","block2",0.5,0.05,"MC"
"123","ballet","MC",133,"main_clause","Ballet is a type of dance","block1",0.5,0,"MC"
"124","ballet","MC",134,"main_clause","Ballet is a type of dance","block2",0.5,0.03,"MC"
"125","ballet","MC",135,"main_clause","Ballet is a type of dance","block2",0.49,0.49,"MC"
"126","ballet","MC",136,"main_clause","Ballet is a type of dance","block2",0.23,0.1,"MC"
"127","ballet","MC",137,"main_clause","Ballet is a type of dance","block2",0.5,0.03,"MC"
"128","ballet","MC",138,"main_clause","Ballet is a type of dance","block1",0.55,0.03,"MC"
"129","ballet","MC",139,"main_clause","Ballet is a type of dance","block2",0.52,0.3,"MC"
"130","ballet","MC",140,"main_clause","Ballet is a type of dance","block2",0.4,0.15,"MC"
"131","ballet","MC",141,"main_clause","Ballet is a type of dance","block1",0.51,0.01,"MC"
"132","ballet","MC",142,"main_clause","Ballet is a type of dance","block1",0.58,0.63,"MC"
"133","ballet","MC",143,"main_clause","Ballet is a type of dance","block1",0.64,0.02,"MC"
"134","ballet","MC",144,"main_clause","Ballet is a type of dance","block1",0.25,0,"MC"
"135","ballet","MC",145,"main_clause","Ballet is a type of dance","block1",0.52,0.05,"MC"
"136","ballet","MC",146,"main_clause","Ballet is a type of dance","block1",0.67,0.8,"MC"
"137","ballet","MC",147,"main_clause","Ballet is a type of dance","block2",0.5,0.07,"MC"
"138","ballet","MC",148,"main_clause","Ballet is a type of dance","block1",0.76,0.78,"MC"
"139","ballet","MC",149,"main_clause","Ballet is a type of dance","block2",0.96,0.94,"MC"
"140","ballet","MC",150,"main_clause","Ballet is a type of dance","block2",0.76,0.64,"MC"
"141","ballet","MC",152,"main_clause","Ballet is a type of dance","block1",0.78,0.16,"MC"
"142","ballet","MC",153,"main_clause","Ballet is a type of dance","block2",0.29,0.34,"MC"
"143","ballet","MC",154,"main_clause","Ballet is a type of dance","block2",0.48,0.19,"MC"
"144","ballet","MC",155,"main_clause","Ballet is a type of dance","block1",0.84,0.37,"MC"
"145","ballet","MC",156,"main_clause","Ballet is a type of dance","block2",0.52,0,"MC"
"146","ballet","MC",157,"main_clause","Ballet is a type of dance","block1",0.08,0.04,"MC"
"147","ballet","MC",158,"main_clause","Ballet is a type of dance","block1",0.5,0,"MC"
"148","ballet","MC",159,"main_clause","Ballet is a type of dance","block1",0.33,0,"MC"
"149","ballet","MC",160,"main_clause","Ballet is a type of dance","block1",0.51,0.13,"MC"
"150","ballet","MC",161,"main_clause","Ballet is a type of dance","block2",0.4,0.83,"MC"
"151","ballet","MC",162,"main_clause","Ballet is a type of dance","block2",0.55,0.01,"MC"
"152","ballet","MC",163,"main_clause","Ballet is a type of dance","block2",0.49,0,"MC"
"153","ballet","MC",164,"main_clause","Ballet is a type of dance","block2",0.5,0.14,"MC"
"154","ballet","MC",165,"main_clause","Ballet is a type of dance","block1",0.5,0,"MC"
"155","ballet","MC",166,"main_clause","Ballet is a type of dance","block1",0.5,0.76,"MC"
"156","ballet","MC",167,"main_clause","Ballet is a type of dance","block2",0.5,0.06,"MC"
"157","ballet","MC",168,"main_clause","Ballet is a type of dance","block1",0.67,0.43,"MC"
"158","ballet","MC",169,"main_clause","Ballet is a type of dance","block1",0.48,0,"MC"
"159","ballet","MC",170,"main_clause","Ballet is a type of dance","block1",0.06,0.12,"MC"
"160","ballet","MC",171,"main_clause","Ballet is a type of dance","block1",0.43,0.17,"MC"
"161","ballet","MC",172,"main_clause","Ballet is a type of dance","block1",0.51,0,"MC"
"162","ballet","MC",173,"main_clause","Ballet is a type of dance","block1",0.06,0.02,"MC"
"163","ballet","MC",174,"main_clause","Ballet is a type of dance","block2",0.49,0,"MC"
"164","ballet","MC",175,"main_clause","Ballet is a type of dance","block1",0.49,0,"MC"
"165","ballet","MC",176,"main_clause","Ballet is a type of dance","block1",0.77,0.36,"MC"
"166","ballet","MC",177,"main_clause","Ballet is a type of dance","block2",0.49,0.24,"MC"
"167","ballet","MC",178,"main_clause","Ballet is a type of dance","block1",0.52,0.01,"MC"
"168","ballet","MC",179,"main_clause","Ballet is a type of dance","block2",0.5,0.06,"MC"
"169","ballet","MC",180,"main_clause","Ballet is a type of dance","block1",0.54,0.14,"MC"
"170","ballet","MC",181,"main_clause","Ballet is a type of dance","block2",0.63,0.06,"MC"
"171","ballet","MC",182,"main_clause","Ballet is a type of dance","block2",0.47,0.65,"MC"
"172","ballet","MC",183,"main_clause","Ballet is a type of dance","block1",0.5,0.18,"MC"
"173","ballet","MC",184,"main_clause","Ballet is a type of dance","block1",0.49,0,"MC"
"174","ballet","MC",185,"main_clause","Ballet is a type of dance","block2",0.51,0.49,"MC"
"175","ballet","MC",186,"main_clause","Ballet is a type of dance","block2",0.48,0,"MC"
"176","ballet","MC",187,"main_clause","Ballet is a type of dance","block2",0.47,0.68,"MC"
"177","ballet","MC",188,"main_clause","Ballet is a type of dance","block1",0.5,0.04,"MC"
"178","ballet","MC",189,"main_clause","Ballet is a type of dance","block2",0.44,0.24,"MC"
"179","ballet","MC",191,"main_clause","Ballet is a type of dance","block1",1,0,"MC"
"180","ballet","MC",192,"main_clause","Ballet is a type of dance","block2",0.24,0.09,"MC"
"181","ballet","MC",193,"main_clause","Ballet is a type of dance","block2",0.69,0.76,"MC"
"182","ballet","MC",194,"main_clause","Ballet is a type of dance","block2",0.52,0.13,"MC"
"183","ballet","MC",195,"main_clause","Ballet is a type of dance","block2",0.5,0.31,"MC"
"184","ballet","MC",196,"main_clause","Ballet is a type of dance","block1",0.35,0.8,"MC"
"185","ballet","MC",197,"main_clause","Ballet is a type of dance","block1",0.96,0.05,"MC"
"186","ballet","MC",198,"main_clause","Ballet is a type of dance","block1",0.48,0.27,"MC"
"187","ballet","MC",199,"main_clause","Ballet is a type of dance","block2",0.29,0.06,"MC"
"188","ballet","MC",200,"main_clause","Ballet is a type of dance","block1",0.49,0,"MC"
"189","ballet","MC",201,"main_clause","Ballet is a type of dance","block1",0.62,0.73,"MC"
"190","ballet","MC",202,"main_clause","Ballet is a type of dance","block2",0.88,0.03,"MC"
"191","ballet","MC",203,"main_clause","Ballet is a type of dance","block2",0.47,0.02,"MC"
"192","ballet","MC",204,"main_clause","Ballet is a type of dance","block1",0.51,0.02,"MC"
"193","ballet","MC",205,"main_clause","Ballet is a type of dance","block2",0.56,0.94,"MC"
"194","ballet","MC",206,"main_clause","Ballet is a type of dance","block2",0.27,0.01,"MC"
"195","ballet","MC",207,"main_clause","Ballet is a type of dance","block2",0.86,0.72,"MC"
"196","ballet","MC",208,"main_clause","Ballet is a type of dance","block1",0.67,0.22,"MC"
"197","ballet","MC",209,"main_clause","Ballet is a type of dance","block1",0.41,0.01,"MC"
"198","ballet","MC",210,"main_clause","Ballet is a type of dance","block2",0.39,0,"MC"
"199","ballet","MC",211,"main_clause","Ballet is a type of dance","block1",0.48,0.23,"MC"
"200","ballet","MC",212,"main_clause","Ballet is a type of dance","block2",0.1,0,"MC"
"201","ballet","MC",213,"main_clause","Ballet is a type of dance","block1",0.94,0.96,"MC"
"202","ballet","MC",214,"main_clause","Ballet is a type of dance","block2",0.5,0.01,"MC"
"203","ballet","MC",216,"main_clause","Ballet is a type of dance","block1",0.99,0.96,"MC"
"204","ballet","MC",217,"main_clause","Ballet is a type of dance","block1",0.96,0.95,"MC"
"205","ballet","MC",218,"main_clause","Ballet is a type of dance","block2",0.76,0.55,"MC"
"206","ballet","MC",219,"main_clause","Ballet is a type of dance","block1",0.48,0.14,"MC"
"207","ballet","MC",220,"main_clause","Ballet is a type of dance","block1",0.68,0.25,"MC"
"208","ballet","MC",221,"main_clause","Ballet is a type of dance","block2",0.65,0.79,"MC"
"209","ballet","MC",222,"main_clause","Ballet is a type of dance","block2",0.41,0.87,"MC"
"210","ballet","MC",223,"main_clause","Ballet is a type of dance","block2",0.29,0.25,"MC"
"211","ballet","MC",224,"main_clause","Ballet is a type of dance","block2",0.23,0,"MC"
"212","ballet","MC",225,"main_clause","Ballet is a type of dance","block1",0.53,0.59,"MC"
"213","ballet","MC",226,"main_clause","Ballet is a type of dance","block2",0.83,0.25,"MC"
"214","ballet","MC",227,"main_clause","Ballet is a type of dance","block2",0.13,0,"MC"
"215","ballet","MC",228,"main_clause","Ballet is a type of dance","block1",0.56,0,"MC"
"216","ballet","MC",229,"main_clause","Ballet is a type of dance","block1",0.5,0.07,"MC"
"217","ballet","MC",230,"main_clause","Ballet is a type of dance","block1",0.5,0.26,"MC"
"218","ballet","MC",231,"main_clause","Ballet is a type of dance","block2",0.5,0,"MC"
"219","ballet","MC",232,"main_clause","Ballet is a type of dance","block2",0.64,0.03,"MC"
"220","ballet","MC",233,"main_clause","Ballet is a type of dance","block2",0.5,0,"MC"
"221","ballet","MC",234,"main_clause","Ballet is a type of dance","block2",0.3,0.11,"MC"
"222","ballet","MC",235,"main_clause","Ballet is a type of dance","block1",0.64,0,"MC"
"223","ballet","MC",236,"main_clause","Ballet is a type of dance","block2",0.49,0,"MC"
"224","ballet","MC",237,"main_clause","Ballet is a type of dance","block2",0.18,0.33,"MC"
"225","ballet","MC",238,"main_clause","Ballet is a type of dance","block2",0.5,0.05,"MC"
"226","ballet","MC",239,"main_clause","Ballet is a type of dance","block2",0.49,0.1,"MC"
"227","ballet","MC",240,"main_clause","Ballet is a type of dance","block2",0.56,0.05,"MC"
"228","ballet","MC",241,"main_clause","Ballet is a type of dance","block2",0.63,0.06,"MC"
"229","ballet","MC",242,"main_clause","Ballet is a type of dance","block1",0.65,0.95,"MC"
"230","ballet","MC",243,"main_clause","Ballet is a type of dance","block1",0.16,0.1,"MC"
"231","ballet","MC",244,"main_clause","Ballet is a type of dance","block2",0.52,0.05,"MC"
"232","ballet","MC",245,"main_clause","Ballet is a type of dance","block1",0.32,0.02,"MC"
"233","ballet","MC",246,"main_clause","Ballet is a type of dance","block2",0.44,0.01,"MC"
"234","ballet","MC",247,"main_clause","Ballet is a type of dance","block1",0.28,0,"MC"
"235","ballet","MC",248,"main_clause","Ballet is a type of dance","block2",0.53,0.48,"MC"
"236","ballet","MC",249,"main_clause","Ballet is a type of dance","block2",0.97,0.97,"MC"
"237","ballet","MC",250,"main_clause","Ballet is a type of dance","block2",0.27,0.01,"MC"
"238","ballet","MC",251,"main_clause","Ballet is a type of dance","block2",0.57,0,"MC"
"239","ballet","MC",252,"main_clause","Ballet is a type of dance","block2",0.5,0,"MC"
"240","ballet","MC",253,"main_clause","Ballet is a type of dance","block1",0.42,0.49,"MC"
"241","ballet","MC",254,"main_clause","Ballet is a type of dance","block1",0.49,0.17,"MC"
"242","ballet","MC",255,"main_clause","Ballet is a type of dance","block2",0.45,0,"MC"
"243","ballet","MC",256,"main_clause","Ballet is a type of dance","block1",0.51,0,"MC"
"244","ballet","MC",257,"main_clause","Ballet is a type of dance","block1",0.49,0.02,"MC"
"245","ballet","MC",258,"main_clause","Ballet is a type of dance","block2",0.51,0,"MC"
"246","ballet","MC",259,"main_clause","Ballet is a type of dance","block1",0.49,0.03,"MC"
"247","ballet","MC",260,"main_clause","Ballet is a type of dance","block2",0.5,0.08,"MC"
"248","ballet","MC",261,"main_clause","Ballet is a type of dance","block1",0.51,0.12,"MC"
"249","ballet","MC",262,"main_clause","Ballet is a type of dance","block2",0.22,0.03,"MC"
"250","ballet","MC",263,"main_clause","Ballet is a type of dance","block2",0.54,0.48,"MC"
"251","ballet","MC",264,"main_clause","Ballet is a type of dance","block1",0.64,0.02,"MC"
"252","ballet","MC",265,"main_clause","Ballet is a type of dance","block2",0.54,0.06,"MC"
"253","ballet","MC",266,"main_clause","Ballet is a type of dance","block2",0.45,0.04,"MC"
"254","ballet","MC",267,"main_clause","Ballet is a type of dance","block1",0.49,0.01,"MC"
"255","ballet","MC",268,"main_clause","Ballet is a type of dance","block2",0.08,0,"MC"
"256","ballet","MC",269,"main_clause","Ballet is a type of dance","block1",0.12,0.65,"MC"
"257","ballet","MC",270,"main_clause","Ballet is a type of dance","block2",0.34,0.86,"MC"
"258","ballet","MC",271,"main_clause","Ballet is a type of dance","block2",0.49,0,"MC"
"259","ballet","MC",272,"main_clause","Ballet is a type of dance","block2",0.98,0.01,"MC"
"260","ballet","MC",273,"main_clause","Ballet is a type of dance","block1",0.61,0.03,"MC"
"261","ballet","MC",274,"main_clause","Ballet is a type of dance","block1",0.56,0.02,"MC"
"262","ballet","MC",275,"main_clause","Ballet is a type of dance","block2",0.51,0.07,"MC"
"263","ballet","MC",276,"main_clause","Ballet is a type of dance","block2",0.49,0.05,"MC"
"264","ballet","MC",277,"main_clause","Ballet is a type of dance","block2",0.5,0.02,"MC"
"265","ballet","MC",278,"main_clause","Ballet is a type of dance","block2",0.45,0.57,"MC"
"266","ballet","MC",279,"main_clause","Ballet is a type of dance","block1",0.4,0,"MC"
"267","ballet","MC",280,"main_clause","Ballet is a type of dance","block2",0.5,0,"MC"
"268","ballet","MC",281,"main_clause","Ballet is a type of dance","block2",0.78,0,"MC"
"269","ballet","MC",282,"main_clause","Ballet is a type of dance","block1",0.49,0.1,"MC"
"270","ballet","MC",283,"main_clause","Ballet is a type of dance","block1",0.5,0,"MC"
"271","ballet","MC",284,"main_clause","Ballet is a type of dance","block2",0.14,0.05,"MC"
"272","ballet","MC",285,"main_clause","Ballet is a type of dance","block1",0.49,0.19,"MC"
"273","ballet","MC",286,"main_clause","Ballet is a type of dance","block2",0.49,0,"MC"
"274","ballet","MC",287,"main_clause","Ballet is a type of dance","block2",0.49,0,"MC"
"275","ballet","MC",288,"main_clause","Ballet is a type of dance","block1",0.18,0,"MC"
"276","ballet","MC",289,"main_clause","Ballet is a type of dance","block1",0.53,0,"MC"
"277","ballet","MC",290,"main_clause","Ballet is a type of dance","block1",0.49,0,"MC"
"278","ballet","MC",291,"main_clause","Ballet is a type of dance","block1",0.44,0,"MC"
"279","ballet","MC",292,"main_clause","Ballet is a type of dance","block1",0.51,0.06,"MC"
"280","ballet","MC",293,"main_clause","Ballet is a type of dance","block1",0.49,0.05,"MC"
"281","ballet","MC",294,"main_clause","Ballet is a type of dance","block1",0.54,0.04,"MC"
"282","ballet","MC",295,"main_clause","Ballet is a type of dance","block2",0.5,0.06,"MC"
"283","ballet","MC",296,"main_clause","Ballet is a type of dance","block2",0.21,0.9,"MC"
"284","ballet","MC",297,"main_clause","Ballet is a type of dance","block2",0.58,0.74,"MC"
"285","ballet","MC",298,"main_clause","Ballet is a type of dance","block2",0.62,0.78,"MC"
"286","ballet","MC",299,"main_clause","Ballet is a type of dance","block2",0.67,0.85,"MC"
"287","charley","acknowledge",132,"high_prior","Charley lives in Mexico","block2",0.87,0.9,"Charley speaks Spanish"
"288","charley","acknowledge",146,"high_prior","Charley lives in Mexico","block1",0.87,0.25,"Charley speaks Spanish"
"289","charley","acknowledge",150,"low_prior","Charley lives in Korea","block2",0.32,0.23,"Charley speaks Spanish"
"290","charley","acknowledge",157,"low_prior","Charley lives in Korea","block1",0.02,0.05,"Charley speaks Spanish"
"291","charley","acknowledge",161,"low_prior","Charley lives in Korea","block2",0.39,0.57,"Charley speaks Spanish"
"292","charley","acknowledge",166,"low_prior","Charley lives in Korea","block1",0.23,0.36,"Charley speaks Spanish"
"293","charley","acknowledge",250,"low_prior","Charley lives in Korea","block2",0.19,0.5,"Charley speaks Spanish"
"294","charley","acknowledge",274,"high_prior","Charley lives in Mexico","block1",0.71,0.98,"Charley speaks Spanish"
"295","charley","admit",2,"low_prior","Charley lives in Korea","block1",0.68,0.75,"Charley speaks Spanish"
"296","charley","admit",10,"high_prior","Charley lives in Mexico","block2",0.94,0.68,"Charley speaks Spanish"
"297","charley","admit",34,"high_prior","Charley lives in Mexico","block2",0.86,0.85,"Charley speaks Spanish"
"298","charley","admit",82,"high_prior","Charley lives in Mexico","block2",0.81,0.07,"Charley speaks Spanish"
"299","charley","admit",96,"high_prior","Charley lives in Mexico","block2",0.61,0.14,"Charley speaks Spanish"
"300","charley","admit",138,"high_prior","Charley lives in Mexico","block1",0.73,0.83,"Charley speaks Spanish"
"301","charley","admit",222,"low_prior","Charley lives in Korea","block2",0.28,0.19,"Charley speaks Spanish"
"302","charley","admit",249,"low_prior","Charley lives in Korea","block2",0.89,0.98,"Charley speaks Spanish"
"303","charley","admit",286,"low_prior","Charley lives in Korea","block2",0.5,0,"Charley speaks Spanish"
"304","charley","announce",42,"high_prior","Charley lives in Mexico","block2",0.88,0.04,"Charley speaks Spanish"
"305","charley","announce",46,"high_prior","Charley lives in Mexico","block1",0.95,0.91,"Charley speaks Spanish"
"306","charley","announce",66,"high_prior","Charley lives in Mexico","block2",0.76,0.45,"Charley speaks Spanish"
"307","charley","announce",76,"high_prior","Charley lives in Mexico","block1",0.88,0.76,"Charley speaks Spanish"
"308","charley","announce",78,"low_prior","Charley lives in Korea","block1",0.31,0.37,"Charley speaks Spanish"
